variables="u","y"
zone,t="x=     0.97008"
 0.000000000E+00 0.000000000E+00
 3.375839908E-03 4.999999987E-07
 6.754819769E-03 1.000469979E-06
 1.014009956E-02 1.501859970E-06
 1.353480015E-02 2.004650014E-06
 1.694210060E-02 2.509309979E-06
 2.036510035E-02 3.016300070E-06
 2.380709909E-02 3.526100045E-06
 2.727119997E-02 4.039180112E-06
 3.076069988E-02 4.556020031E-06
 3.427879885E-02 5.077090009E-06
 3.782869875E-02 5.602889814E-06
 4.141379893E-02 6.133900115E-06
 4.503729939E-02 6.670620223E-06
 4.870269820E-02 7.213539902E-06
 5.241319910E-02 7.763180292E-06
 5.617219955E-02 8.320030247E-06
 5.998310074E-02 8.884630006E-06
 6.384950131E-02 9.457489796E-06
 6.777460128E-02 1.003919988E-05
 7.176200300E-02 1.063020045E-05
 7.581509650E-02 1.123099992E-05
 7.993739843E-02 1.184240045E-05
 8.413209766E-02 1.246470038E-05
 8.840289712E-02 1.309870004E-05
 9.275279939E-02 1.374479962E-05
 9.718520194E-02 1.440370033E-05
 1.017030030E-01 1.507609977E-05
 1.063089967E-01 1.576239993E-05
 1.110069975E-01 1.646340024E-05
 1.157979965E-01 1.717980012E-05
 1.206850037E-01 1.791209979E-05
 1.256690025E-01 1.866099956E-05
 1.307529956E-01 1.942739982E-05
 1.359360069E-01 2.021180080E-05
 1.412180066E-01 2.101499922E-05
 1.466010064E-01 2.183780089E-05
 1.520809978E-01 2.268080061E-05
 1.576579958E-01 2.354500066E-05
 1.633280069E-01 2.443109952E-05
 1.690880060E-01 2.533989937E-05
 1.749320030E-01 2.627230060E-05
 1.808550060E-01 2.722909994E-05
 1.868499964E-01 2.821129965E-05
 1.929109991E-01 2.921970008E-05
 1.990280002E-01 3.025529986E-05
 2.051929981E-01 3.131899939E-05
 2.113970071E-01 3.241189916E-05
 2.176299989E-01 3.353489956E-05
 2.238830030E-01 3.468909927E-05
 2.301450074E-01 3.587560059E-05
 2.364079952E-01 3.709549856E-05
 2.426609993E-01 3.834989911E-05
 2.488970011E-01 3.963990093E-05
 2.551079988E-01 4.096690100E-05
 2.612859905E-01 4.233189975E-05
 2.674230039E-01 4.373630145E-05
 2.735159993E-01 4.518140122E-05
 2.795569897E-01 4.666859968E-05
 2.855429947E-01 4.819910100E-05
 2.914699912E-01 4.977460048E-05
 2.973349988E-01 5.139629866E-05
 3.031359911E-01 5.306579988E-05
 3.088699877E-01 5.478470121E-05
 3.145360053E-01 5.655450150E-05
 3.201340139E-01 5.837700155E-05
 3.256630003E-01 6.025379844E-05
 3.311229944E-01 6.218659837E-05
 3.365139961E-01 6.417730037E-05
 3.418360054E-01 6.622770161E-05
 3.470909894E-01 6.833970110E-05
 3.522779942E-01 7.051529974E-05
 3.574000001E-01 7.275649841E-05
 3.624570072E-01 7.506539987E-05
 3.674510121E-01 7.744409959E-05
 3.723829985E-01 7.989480218E-05
 3.772540092E-01 8.241990145E-05
 3.820660114E-01 8.502160199E-05
 3.868199885E-01 8.770250133E-05
 3.915190101E-01 9.046489868E-05
 3.961620033E-01 9.331150068E-05
 4.007520080E-01 9.624489758E-05
 4.052900076E-01 9.926789789E-05
 4.097790122E-01 1.023829973E-04
 4.142180085E-01 1.055940011E-04
 4.186100066E-01 1.089029975E-04
 4.229559898E-01 1.123129987E-04
 4.272580147E-01 1.158270024E-04
 4.315159917E-01 1.194500001E-04
 4.357329905E-01 1.231829956E-04
 4.399090111E-01 1.270310022E-04
 4.440459907E-01 1.309969957E-04
 4.481439888E-01 1.350850071E-04
 4.522059858E-01 1.392989943E-04
 4.562320113E-01 1.436430030E-04
 4.602229893E-01 1.481200015E-04
 4.641810060E-01 1.527340064E-04
 4.681070149E-01 1.574909984E-04
 4.720009863E-01 1.623949938E-04
 4.758639932E-01 1.674490049E-04
 4.796980023E-01 1.726589981E-04
 4.835030138E-01 1.780299935E-04
 4.872809947E-01 1.835669973E-04
 4.910320044E-01 1.892739965E-04
 4.947569966E-01 1.951570011E-04
 4.984570146E-01 2.012220066E-04
 5.021330118E-01 2.074740041E-04
 5.057849884E-01 2.139199933E-04
 5.094140172E-01 2.205640048E-04
 5.130209923E-01 2.274129947E-04
 5.166069865E-01 2.344740060E-04
 5.201719999E-01 2.417530050E-04
 5.237169862E-01 2.492569911E-04
 5.272430182E-01 2.569929929E-04
 5.307499766E-01 2.649679955E-04
 5.342389941E-01 2.731890127E-04
 5.377100110E-01 2.816650085E-04
 5.411639810E-01 2.904020075E-04
 5.446019769E-01 2.994099923E-04
 5.480229855E-01 3.086960060E-04
 5.514299870E-01 3.182700020E-04
 5.548210144E-01 3.281389945E-04
 5.581979752E-01 3.383140138E-04
 5.615609884E-01 3.488039947E-04
 5.649099946E-01 3.596179886E-04
 5.682470202E-01 3.707669966E-04
 5.715709925E-01 3.822600120E-04
 5.748819709E-01 3.941089963E-04
 5.781819820E-01 4.063250090E-04
 5.814710259E-01 4.189189931E-04
 5.847489834E-01 4.319029977E-04
 5.880159736E-01 4.452879948E-04
 5.912730098E-01 4.590880126E-04
 5.945199728E-01 4.733139940E-04
 5.977579951E-01 4.879809858E-04
 6.009870172E-01 5.031020264E-04
 6.042069793E-01 5.186920171E-04
 6.074190140E-01 5.347629776E-04
 6.106219888E-01 5.513320211E-04
 6.138179898E-01 5.684139905E-04
 6.170070171E-01 5.860250094E-04
 6.201879978E-01 6.041810266E-04
 6.233630180E-01 6.228989805E-04
 6.265310049E-01 6.421969738E-04
 6.296939850E-01 6.620920030E-04
 6.328499913E-01 6.826029858E-04
 6.360009909E-01 7.037490141E-04
 6.391469836E-01 7.255499950E-04
 6.422880292E-01 7.480250206E-04
 6.454240084E-01 7.711970247E-04
 6.485559940E-01 7.950859726E-04
 6.516839862E-01 8.197149727E-04
 6.548079848E-01 8.451060276E-04
 6.579290032E-01 8.712830022E-04
 6.610469818E-01 8.982709842E-04
 6.641619802E-01 9.260950028E-04
 6.672739983E-01 9.547799709E-04
 6.703839898E-01 9.843539447E-04
 6.734920144E-01 1.014839974E-03
 6.765980124E-01 1.046280027E-03
 6.797029972E-01 1.078680041E-03
 6.828060150E-01 1.112089958E-03
 6.859089732E-01 1.146540046E-03
 6.890119910E-01 1.182049979E-03
 6.921129823E-01 1.218660036E-03
 6.952149868E-01 1.256410033E-03
 6.983180046E-01 1.295319991E-03
 7.014200091E-01 1.335439971E-03
 7.045239806E-01 1.376800006E-03
 7.076290250E-01 1.419440028E-03
 7.107350230E-01 1.463399967E-03
 7.138440013E-01 1.508729998E-03
 7.169539928E-01 1.555460040E-03
 7.200670242E-01 1.603630022E-03
 7.231820226E-01 1.653300016E-03
 7.263010144E-01 1.704500057E-03
 7.294229865E-01 1.757289981E-03
 7.325490117E-01 1.811719965E-03
 7.356799841E-01 1.867830055E-03
 7.388139963E-01 1.925679971E-03
 7.419540286E-01 1.985319890E-03
 7.450979948E-01 2.046799986E-03
 7.482489944E-01 2.110189991E-03
 7.514050007E-01 2.175549977E-03
 7.545679808E-01 2.242930001E-03
 7.577379942E-01 2.312389901E-03
 7.609140277E-01 2.384010004E-03
 7.640990019E-01 2.457839902E-03
 7.672920227E-01 2.533959923E-03
 7.704929709E-01 2.612439916E-03
 7.737029791E-01 2.693349961E-03
 7.769230008E-01 2.776759909E-03
 7.801520228E-01 2.862760099E-03
 7.833920121E-01 2.951419912E-03
 7.866430283E-01 3.042819910E-03
 7.899060249E-01 3.137059975E-03
 7.931810021E-01 3.234209958E-03
 7.964680195E-01 3.334379988E-03
 7.997679710E-01 3.437639913E-03
 8.030819893E-01 3.544110106E-03
 8.064100146E-01 3.653869964E-03
 8.097530007E-01 3.767030081E-03
 8.131120205E-01 3.883690108E-03
 8.164860010E-01 4.003969952E-03
 8.198779821E-01 4.127969965E-03
 8.232870102E-01 4.255820066E-03
 8.267130256E-01 4.387619905E-03
 8.301590085E-01 4.523499869E-03
 8.336229920E-01 4.663589876E-03
 8.371080160E-01 4.808030091E-03
 8.406140208E-01 4.956929944E-03
 8.441399932E-01 5.110439844E-03
 8.476889729E-01 5.268710200E-03
