VARIABLES = "x/c" "z/c" "cf_x"
ZONE T="FUN3D Family 1 flap"
 Nodes=8052, Elements=4026, ZONETYPE=FEQuadrilateral
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE )
 8.455063701E-01 6.264837924E-03 -7.522279338E-05
 8.455069661E-01 6.404789165E-03 1.808590314E-04
 8.455104232E-01 6.544700824E-03 4.408184905E-04
 8.455168009E-01 6.684509106E-03 7.028989494E-04
 8.455260396E-01 6.824158598E-03 9.658022900E-04
 8.455380797E-01 6.963592488E-03 1.229112269E-03
 8.455529213E-01 7.102758158E-03 1.492681564E-03
 8.455705047E-01 7.241603453E-03 1.756340265E-03
 8.455908298E-01 7.380077615E-03 2.019932959E-03
 8.456137776E-01 7.518133614E-03 2.283310983E-03
 8.456394076E-01 7.655723486E-03 2.546332078E-03
 8.456676006E-01 7.792803459E-03 2.808852354E-03
 8.456984162E-01 7.929328829E-03 3.070718376E-03
 8.457317352E-01 8.065258153E-03 3.331754589E-03
 8.457675576E-01 8.200550452E-03 3.591748420E-03
 8.458058238E-01 8.335165679E-03 3.850429552E-03
 8.458465338E-01 8.469065651E-03 4.107444081E-03
 8.458896875E-01 8.602213115E-03 4.362311680E-03
 8.459351659E-01 8.734570816E-03 4.614361562E-03
 8.459829688E-01 8.866103366E-03 4.862646572E-03
 8.460330963E-01 8.996774442E-03 5.105732474E-03
 8.460854888E-01 9.126550518E-03 5.341512617E-03
 8.461401463E-01 9.255398065E-03 5.568434950E-03
 8.461969495E-01 9.383287281E-03 5.787329283E-03
 8.462559581E-01 9.510201402E-03 6.000664551E-03
 8.463170528E-01 9.636124596E-03 6.210672203E-03
 8.463801742E-01 9.761041962E-03 6.418974139E-03
 8.464452624E-01 9.884942323E-03 6.626949180E-03
 8.465122581E-01 1.000781730E-02 6.836049259E-03
 8.465811014E-01 1.012965944E-02 7.047973108E-03
 8.466517925E-01 1.025046222E-02 7.264910266E-03
 8.467242122E-01 1.037022006E-02 7.489645854E-03
 8.467983007E-01 1.048893575E-02 7.722756360E-03
 8.468741179E-01 1.060658600E-02 7.960810326E-03
 8.469515443E-01 1.072315685E-02 8.199850097E-03
 8.470306396E-01 1.083862875E-02 8.437856100E-03
 8.471113443E-01 1.095298398E-02 8.673949167E-03
 8.471935987E-01 1.106620487E-02 8.907605894E-03
 8.472774625E-01 1.117827464E-02 9.138331749E-03
 8.473628163E-01 1.128917653E-02 9.365530685E-03
 8.474497199E-01 1.139889285E-02 9.588397108E-03
 8.475381136E-01 1.150740590E-02 9.805755690E-03
 8.476279378E-01 1.161469985E-02 1.001698431E-02
 8.477192521E-01 1.172076259E-02 1.022321079E-02
 8.478119969E-01 1.182558481E-02 1.042622328E-02
 8.479061127E-01 1.192915812E-02 1.062701177E-02
 8.480015993E-01 1.203147322E-02 1.082588453E-02
 8.480984569E-01 1.213252265E-02 1.102291420E-02
 8.481966257E-01 1.223229989E-02 1.121808030E-02
 8.482960463E-01 1.233079843E-02 1.141131669E-02
 8.483967185E-01 1.242801175E-02 1.160252746E-02
 8.484986424E-01 1.252393425E-02 1.179159619E-02
 8.486017585E-01 1.261856128E-02 1.197837945E-02
 8.487060666E-01 1.271188632E-02 1.216270588E-02
 8.488115072E-01 1.280390564E-02 1.234437339E-02
 8.489180803E-01 1.289461460E-02 1.252313703E-02
