VARIABLES = "x"
"z"
"cf_x"
ZONE T="FUN3D flap, SA-neg-RC"
 STRANDID=0, SOLUTIONTIME=4676
 Nodes=8052, Elements=4026, ZONETYPE=FEQuadrilateral
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE )
 8.455063701E-01 6.264837924E-03 -7.531168376E-05
 8.455069661E-01 6.404789165E-03 1.792756229E-04
 8.455104232E-01 6.544700824E-03 4.366943031E-04
 8.455168009E-01 6.684509106E-03 6.951392861E-04
 8.455260396E-01 6.824158598E-03 9.532712284E-04
 8.455380797E-01 6.963592488E-03 1.210645074E-03
 8.455529213E-01 7.102758158E-03 1.467091963E-03
 8.455705047E-01 7.241603453E-03 1.722423127E-03
 8.455908298E-01 7.380077615E-03 1.976466039E-03
 8.456137776E-01 7.518133614E-03 2.229055623E-03
 8.456394076E-01 7.655723486E-03 2.480032621E-03
 8.456676006E-01 7.792803459E-03 2.729234984E-03
 8.456984162E-01 7.929328829E-03 2.976489486E-03
 8.457317352E-01 8.065258153E-03 3.221598454E-03
 8.457675576E-01 8.200550452E-03 3.464324167E-03
 8.458058238E-01 8.335165679E-03 3.704366041E-03
 8.458465338E-01 8.469065651E-03 3.941333387E-03
 8.458896875E-01 8.602213115E-03 4.174703266E-03
 8.459351659E-01 8.734570816E-03 4.403757863E-03
 8.459829688E-01 8.866103366E-03 4.627499729E-03
 8.460330963E-01 8.996774442E-03 4.844435491E-03
 8.460854888E-01 9.126550518E-03 5.052391905E-03
 8.461401463E-01 9.255398065E-03 5.249775480E-03
 8.461969495E-01 9.383287281E-03 5.437417421E-03
 8.462559581E-01 9.510201402E-03 5.617844407E-03
 8.463170528E-01 9.636124596E-03 5.793408491E-03
 8.463801742E-01 9.761041962E-03 5.965892691E-03
 8.464452624E-01 9.884942323E-03 6.136853714E-03
 8.465122581E-01 1.000781730E-02 6.307926029E-03
 8.465811014E-01 1.012965944E-02 6.481020246E-03
 8.466517925E-01 1.025046222E-02 6.658539642E-03
 8.467242122E-01 1.037022006E-02 6.843362469E-03
 8.467983007E-01 1.048893575E-02 7.036088966E-03
 8.468741179E-01 1.060658600E-02 7.233356126E-03
 8.469515443E-01 1.072315685E-02 7.431193721E-03
 8.470306396E-01 1.083862875E-02 7.627404295E-03
 8.471113443E-01 1.095298398E-02 7.820881903E-03
 8.471935987E-01 1.106620487E-02 8.010896854E-03
 8.472774625E-01 1.117827464E-02 8.196786977E-03
 8.473628163E-01 1.128917653E-02 8.377817459E-03
 8.474497199E-01 1.139889285E-02 8.553060703E-03
 8.475381136E-01 1.150740590E-02 8.721265942E-03
 8.476279378E-01 1.161469985E-02 8.881779388E-03
 8.477192521E-01 1.172076259E-02 9.035654366E-03
 8.478119969E-01 1.182558481E-02 9.184628725E-03
 8.479061127E-01 1.192915812E-02 9.329738095E-03
 8.480015993E-01 1.203147322E-02 9.471395053E-03
 8.480984569E-01 1.213252265E-02 9.609766304E-03
 8.481966257E-01 1.223229989E-02 9.744906798E-03
 8.482960463E-01 1.233079843E-02 9.876807220E-03
 8.483967185E-01 1.242801175E-02 1.000541076E-02
 8.484986424E-01 1.252393425E-02 1.013062615E-02
 8.486017585E-01 1.261856128E-02 1.025232673E-02
 8.487060666E-01 1.271188632E-02 1.037035231E-02
 8.488115072E-01 1.280390564E-02 1.048449893E-02
 8.489180803E-01 1.289461460E-02 1.059451699E-02
 8.490257263E-01 1.298400946E-02 1.070009638E-02
 8.491345048E-01 1.307208557E-02 1.080086082E-02
 8.492443562E-01 1.315883920E-02 1.089634094E-02
 8.493552208E-01 1.324426755E-02 1.098595187E-02
 8.494670987E-01 1.332836598E-02 1.106895879E-02
 8.495799303E-01 1.341113262E-02 1.114445738E-02
 8.496937752E-01 1.349256281E-02 1.121133473E-02
 8.498085141E-01 1.357265376E-02 1.126805600E-02
 8.499242067E-01 1.365140174E-02 1.131379791E-02
 8.500408530E-01 1.372881047E-02 1.135018561E-02
 8.501583338E-01 1.380488463E-02 1.137994044E-02
 8.502766490E-01 1.387963071E-02 1.140474621E-02
 8.503957987E-01 1.395305432E-02 1.142535731E-02
 8.505157232E-01 1.402516384E-02 1.144220494E-02
 8.506364822E-01 1.409596670E-02 1.145557687E-02
 8.507579565E-01 1.416547131E-02 1.146567892E-02
 8.508801460E-01 1.423368603E-02 1.147267222E-02
 8.510030508E-01 1.430062018E-02 1.147669088E-02
 8.511266708E-01 1.436628215E-02 1.147785131E-02
 8.512508869E-01 1.443068217E-02 1.147625782E-02
 8.513758183E-01 1.449383050E-02 1.147200540E-02
 8.515013456E-01 1.455573738E-02 1.146517973E-02
 8.516274691E-01 1.461641211E-02 1.145585719E-02
 8.517541289E-01 1.467586681E-02 1.144410856E-02
 8.518813848E-01 1.473411079E-02 1.142999623E-02
 8.520092368E-01 1.479115617E-02 1.141357329E-02
 8.521375060E-01 1.484701317E-02 1.139488723E-02
 8.522663713E-01 1.490169298E-02 1.137397625E-02
 8.523957133E-01 1.495520771E-02 1.135087479E-02
 8.525254726E-01 1.500756666E-02 1.132561080E-02
 8.526557088E-01 1.505878288E-02 1.129820105E-02
 8.527864218E-01 1.510886755E-02 1.126864087E-02
 8.529175520E-01 1.515783090E-02 1.123696007E-02
 8.530490398E-01 1.520568412E-02 1.120309066E-02
