# PDF of fluctuation velocity in a strained channel at different channel heights
# Normalization is by u_tau(0) (i.e. unstrained channel u_tau)
# STRAIN TIME = 0.365
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -6.71672E+00   0.00000E+00  -4.39531E+00   0.00000E+00  -6.91813E+00   0.00000E+00
 -6.67907E+00   0.00000E+00  -4.37267E+00   1.42196E-06  -6.88443E+00   0.00000E+00
 -6.64142E+00   2.16761E-07  -4.35029E+00   1.86671E-06  -6.85073E+00   0.00000E+00
 -6.60377E+00   9.34208E-07  -4.32765E+00   4.44721E-07  -6.81729E+00   0.00000E+00
 -6.56612E+00   7.94649E-07  -4.30501E+00   0.00000E+00  -6.78359E+00   0.00000E+00
 -6.52820E+00   7.71895E-08  -4.28236E+00   0.00000E+00  -6.74989E+00   0.00000E+00
 -6.49055E+00   6.42876E-07  -4.25998E+00   0.00000E+00  -6.71619E+00   8.19410E-07
 -6.45290E+00   1.08357E-06  -4.23734E+00   0.00000E+00  -6.68249E+00   1.70775E-06
 -6.41525E+00   3.66130E-07  -4.21470E+00   0.00000E+00  -6.64905E+00   2.59293E-06
 -6.37760E+00   0.00000E+00  -4.19206E+00   0.00000E+00  -6.61535E+00   2.05801E-06
 -6.33995E+00   0.00000E+00  -4.16968E+00   0.00000E+00  -6.58165E+00   2.79469E-07
 -6.30230E+00   0.00000E+00  -4.14703E+00   0.00000E+00  -6.54795E+00   2.25265E-06
 -6.26465E+00   0.00000E+00  -4.12439E+00   0.00000E+00  -6.51425E+00   2.87111E-06
 -6.22674E+00   0.00000E+00  -4.10201E+00   9.84849E-08  -6.48081E+00   1.98593E-06
 -6.18909E+00   0.00000E+00  -4.07937E+00   2.85703E-06  -6.44711E+00   1.58008E-06
 -6.15144E+00   0.00000E+00  -4.05673E+00   2.00445E-06  -6.41341E+00   2.55512E-06
 -6.11379E+00   0.00000E+00  -4.03408E+00   6.93304E-07  -6.37971E+00   2.48223E-06
 -6.07614E+00   0.00000E+00  -4.01170E+00   0.00000E+00  -6.34627E+00   1.56607E-06
 -6.03849E+00   7.00481E-07  -3.98906E+00   1.92850E-06  -6.31257E+00   1.48032E-06
 -6.00084E+00   1.22317E-06  -3.96642E+00   4.12739E-06  -6.27887E+00   1.61162E-06
 -5.96319E+00   1.22317E-06  -3.94378E+00   1.99442E-06  -6.24517E+00   1.69742E-06
 -5.92527E+00   8.14447E-07  -3.92140E+00   1.96011E-06  -6.21147E+00   1.50312E-06
 -5.88762E+00   9.70148E-08  -3.89875E+00   1.10619E-06  -6.17803E+00   1.14124E-06
 -5.84997E+00   0.00000E+00  -3.87611E+00   3.31781E-06  -6.14433E+00   1.66215E-07
 -5.81232E+00   0.00000E+00  -3.85347E+00   4.99225E-06  -6.11063E+00   8.08847E-07
 -5.77467E+00   0.00000E+00  -3.83109E+00   2.11688E-06  -6.07693E+00   1.50312E-06
 -5.73702E+00   9.50078E-07  -3.80845E+00   6.65756E-10  -6.04323E+00   3.54364E-06
 -5.69937E+00   1.85620E-07  -3.78580E+00   2.22069E-06  -6.00979E+00   5.21291E-06
 -5.66172E+00   5.45480E-07  -3.76343E+00   6.46425E-06  -5.97609E+00   4.45234E-06
 -5.62407E+00   1.22317E-06  -3.74078E+00   3.94187E-06  -5.94239E+00   6.49391E-06
 -5.58616E+00   1.22317E-06  -3.71814E+00   4.68292E-06  -5.90869E+00   8.68452E-06
