# PDF of fluctuation velocity in a channel at Re_tau = 391.68 at different channel heights
# Normalization is by u_tau
# STRAIN TIME = 0.0 (unstrained)
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -7.81620E+00   0.00000E+00  -5.28759E+00   0.00000E+00  -7.45971E+00   0.00000E+00
 -7.77118E+00   4.88624E-07  -5.26311E+00   0.00000E+00  -7.42259E+00   0.00000E+00
 -7.72616E+00   7.84145E-07  -5.23889E+00   0.00000E+00  -7.38573E+00   0.00000E+00
 -7.68114E+00   2.95521E-07  -5.21440E+00   0.00000E+00  -7.34860E+00   0.00000E+00
 -7.63611E+00   0.00000E+00  -5.18991E+00   0.00000E+00  -7.31148E+00   0.00000E+00
 -7.59136E+00   0.00000E+00  -5.16543E+00   0.00000E+00  -7.27462E+00   0.00000E+00
 -7.54633E+00   0.00000E+00  -5.14121E+00   0.00000E+00  -7.23750E+00   0.00000E+00
 -7.50131E+00   0.00000E+00  -5.11672E+00   0.00000E+00  -7.20037E+00   0.00000E+00
 -7.45629E+00   3.83376E-07  -5.09223E+00   0.00000E+00  -7.16351E+00   0.00000E+00
 -7.41127E+00   8.72000E-07  -5.06801E+00   0.00000E+00  -7.12639E+00   0.00000E+00
 -7.36624E+00   4.02309E-07  -5.04353E+00   6.44171E-07  -7.08927E+00   0.00000E+00
 -7.32122E+00   8.50155E-08  -5.01904E+00   1.74626E-06  -7.05241E+00   0.00000E+00
 -7.27620E+00   5.73650E-07  -4.99456E+00   1.30750E-06  -7.01528E+00   1.06715E-07
 -7.23118E+00   8.04309E-07  -4.97033E+00   1.99042E-07  -6.97816E+00   1.60339E-06
 -7.18642E+00   1.67566E-06  -4.94585E+00   0.00000E+00  -6.94130E+00   1.98802E-06
 -7.14140E+00   2.45903E-06  -4.92136E+00   1.34395E-07  -6.90418E+00   4.97591E-07
 -7.09638E+00   3.38931E-06  -4.89688E+00   1.28931E-06  -6.86705E+00   0.00000E+00
 -7.05135E+00   4.78541E-06  -4.87265E+00   1.71610E-06  -6.83019E+00   0.00000E+00
 -7.00633E+00   3.77467E-06  -4.84817E+00   5.61174E-07  -6.79307E+00   2.73568E-07
 -6.96131E+00   2.92076E-06  -4.82368E+00   0.00000E+00  -6.75595E+00   1.10932E-06
 -6.91629E+00   3.55342E-06  -4.79946E+00   0.00000E+00  -6.71909E+00   1.27145E-06
 -6.87127E+00   7.92631E-06  -4.77497E+00   5.15319E-07  -6.68196E+00   1.27145E-06
 -6.82651E+00   8.91800E-06  -4.75049E+00   1.62376E-06  -6.64484E+00   2.87181E-06
 -6.78148E+00   7.61544E-06  -4.72600E+00   1.86619E-06  -6.60798E+00   2.41097E-06
 -6.73646E+00   1.33615E-05  -4.70178E+00   1.86619E-06  -6.57085E+00   3.81904E-06
 -6.69144E+00   1.46506E-05  -4.67729E+00   1.51851E-06  -6.53373E+00   2.40786E-06
 -6.64642E+00   1.81189E-05  -4.65281E+00   4.10030E-07  -6.49687E+00   1.83636E-06
 -6.60140E+00   2.59427E-05  -4.62859E+00   1.36664E-06  -6.45975E+00   3.36245E-06
 -6.55637E+00   3.72930E-05  -4.60410E+00   4.17121E-07  -6.42262E+00   2.61766E-06
 -6.51135E+00   4.38941E-05  -4.57961E+00   1.64830E-06  -6.38576E+00   1.00816E-06
 -6.46633E+00   6.19020E-05  -4.55513E+00   1.29288E-06  -6.34864E+00   3.56469E-06
 -6.42157E+00   8.41921E-05  -4.53091E+00   1.17513E-06  -6.31152E+00   4.12483E-06
 -6.37655E+00   1.13260E-04  -4.50642E+00   1.90343E-06  -6.27466E+00   3.53901E-06
 -6.33153E+00   1.50701E-04  -4.48194E+00   2.02349E-06  -6.23753E+00   4.86513E-06
 -6.28650E+00   2.18655E-04  -4.45771E+00   1.67403E-06  -6.20041E+00   1.01046E-05
 -6.24148E+00   2.66484E-04  -4.43323E+00   4.37694E-07  -6.16355E+00   1.26769E-05
 -6.19646E+00   3.40527E-04  -4.40874E+00   2.14527E-06  -6.12643E+00   8.93456E-06
 -6.15144E+00   4.30455E-04  -4.38426E+00   3.65413E-06  -6.08930E+00   1.34673E-05
 -6.10642E+00   5.65613E-04  -4.36003E+00   5.41349E-06  -6.05244E+00   1.41361E-05
 -6.06139E+00   7.50593E-04  -4.33555E+00   7.34384E-06  -6.01532E+00   1.54335E-05
 -6.01664E+00   9.61536E-04  -4.31106E+00   4.22989E-06  -5.97820E+00   1.72036E-05
 -5.97161E+00   1.17483E-03  -4.28684E+00   4.66640E-07  -5.94134E+00   1.48598E-05
 -5.92659E+00   1.40255E-03  -4.26235E+00   1.95344E-06  -5.90421E+00   1.08894E-05
 -5.88157E+00   1.70950E-03  -4.23787E+00   7.49466E-06  -5.86709E+00   1.13815E-05
 -5.83655E+00   2.06198E-03  -4.21338E+00   1.05144E-05  -5.83023E+00   1.53426E-05
 -5.79153E+00   2.51131E-03  -4.18916E+00   3.76149E-06  -5.79310E+00   1.50777E-05
 -5.74650E+00   2.92608E-03  -4.16467E+00   5.91549E-07  -5.75598E+00   2.29146E-05
 -5.70148E+00   3.39967E-03  -4.14019E+00   2.33770E-06  -5.71912E+00   3.59841E-05
 -5.65672E+00   3.98920E-03  -4.11570E+00   4.98312E-06  -5.68200E+00   3.23553E-05
 -5.61170E+00   4.58713E-03  -4.09148E+00   4.71377E-06  -5.64487E+00   3.14072E-05
 -5.56668E+00   5.29457E-03  -4.06699E+00   2.22194E-06  -5.60801E+00   3.23169E-05
 -5.52166E+00   6.08182E-03  -4.04251E+00   5.69502E-06  -5.57089E+00   3.43850E-05
 -5.47663E+00   6.97242E-03  -4.01829E+00   1.25709E-05  -5.53377E+00   4.07348E-05
 -5.43161E+00   8.03525E-03  -3.99380E+00   1.40414E-05  -5.49691E+00   4.74990E-05
 -5.38659E+00   9.21571E-03  -3.96932E+00   1.43364E-05  -5.45978E+00   4.60798E-05
 -5.34157E+00   1.04768E-02  -3.94483E+00   9.75695E-06  -5.42266E+00   3.78641E-05
 -5.29655E+00   1.17043E-02  -3.92061E+00   3.58150E-06  -5.38580E+00   4.87483E-05
 -5.25179E+00   1.29237E-02  -3.89612E+00   4.35967E-06  -5.34868E+00   5.85934E-05
 -5.20676E+00   1.42647E-02  -3.87164E+00   8.19584E-06  -5.31155E+00   6.82120E-05
 -5.16174E+00   1.57745E-02  -3.84741E+00   7.73743E-06  -5.27469E+00   6.32754E-05
 -5.11672E+00   1.73983E-02  -3.82293E+00   4.92048E-06  -5.23757E+00   6.39829E-05
 -5.07170E+00   1.90111E-02  -3.79844E+00   9.41497E-06  -5.20045E+00   7.61002E-05
 -5.02668E+00   2.06859E-02  -3.77396E+00   1.34666E-05  -5.16359E+00   9.75249E-05
 -4.98165E+00   2.24671E-02  -3.74973E+00   1.48312E-05  -5.12646E+00   1.17781E-04
 -4.93663E+00   2.41968E-02  -3.72525E+00   1.16098E-05  -5.08934E+00   1.36416E-04
 -4.89161E+00   2.61090E-02  -3.70076E+00   1.15979E-05  -5.05248E+00   1.27824E-04
 -4.84685E+00   2.82946E-02  -3.67654E+00   1.97428E-05  -5.01535E+00   1.21820E-04
 -4.80183E+00   3.04567E-02  -3.65205E+00   2.02283E-05  -4.97823E+00   1.50353E-04
 -4.75681E+00   3.26160E-02  -3.62757E+00   2.26646E-05  -4.94111E+00   1.57760E-04
 -4.71178E+00   3.50637E-02  -3.60308E+00   2.47145E-05  -4.90425E+00   1.61455E-04
 -4.66676E+00   3.74190E-02  -3.57886E+00   2.78321E-05  -4.86712E+00   1.72635E-04
 -4.62174E+00   3.94663E-02  -3.55438E+00   3.58103E-05  -4.83000E+00   1.82577E-04
 -4.57672E+00   4.15023E-02  -3.52989E+00   3.32411E-05  -4.79314E+00   2.02522E-04
 -4.53170E+00   4.38240E-02  -3.50540E+00   3.17078E-05  -4.75602E+00   2.20514E-04
 -4.48694E+00   4.65491E-02  -3.48118E+00   3.58738E-05  -4.71889E+00   2.32716E-04
 -4.44192E+00   4.90556E-02  -3.45670E+00   3.01831E-05  -4.68203E+00   2.53498E-04
 -4.39689E+00   5.12065E-02  -3.43221E+00   3.05118E-05  -4.64491E+00   2.66630E-04
 -4.35187E+00   5.35562E-02  -3.40799E+00   3.68687E-05  -4.60779E+00   3.07821E-04
 -4.30685E+00   5.59003E-02  -3.38350E+00   4.51109E-05  -4.57093E+00   3.46033E-04
 -4.26183E+00   5.80428E-02  -3.35902E+00   4.40525E-05  -4.53380E+00   3.73814E-04
 -4.21681E+00   6.01124E-02  -3.33453E+00   4.67772E-05  -4.49668E+00   3.99557E-04
 -4.17178E+00   6.21289E-02  -3.31031E+00   5.57132E-05  -4.45982E+00   4.55138E-04
 -4.12676E+00   6.42377E-02  -3.28582E+00   5.45186E-05  -4.42270E+00   4.76203E-04
 -4.08200E+00   6.63942E-02  -3.26134E+00   6.49668E-05  -4.38557E+00   4.85259E-04
 -4.03698E+00   6.85423E-02  -3.23711E+00   6.60258E-05  -4.34871E+00   5.37739E-04
 -3.99196E+00   7.04635E-02  -3.21263E+00   6.00043E-05  -4.31159E+00   5.75705E-04
 -3.94694E+00   7.23707E-02  -3.18814E+00   6.61819E-05  -4.27447E+00   5.85368E-04
 -3.90191E+00   7.42079E-02  -3.16366E+00   9.03329E-05  -4.23760E+00   6.56729E-04
 -3.85689E+00   7.60984E-02  -3.13943E+00   1.06665E-04  -4.20048E+00   7.37229E-04
 -3.81187E+00   7.82380E-02  -3.11495E+00   1.10588E-04  -4.16336E+00   7.89385E-04
 -3.76685E+00   7.99408E-02  -3.09046E+00   1.03801E-04  -4.12650E+00   8.91677E-04
