#
# From LES simulations of the flow over a wall-mounted hump
# Published in
#      Avdis A., Lardeau S. & Leschziner M.A. (2009) 
#           Large Eddy Simulation of Separated Flow over a Glauert-Goldschmied 
#           Wall-Mounted Hump with and without Control by Means of a Synthetic Jet
#           Flow, Turbulence And Combustion, 83, 343-370.
# (see also Greenblatt et al, AIAA Journal, vol.44, numb.2 pp.194-207)
# 
# Reference velocity: U_in
# Reference length: C 
# Re_C = U_in C/nu = 935,892
# 
# Other parameters:
#     Domain width z = 0.4 C
#     Hump height h = 0.13 C
#
# Boundary layer parameters upstream of the hump:
#     Momentum-thickness Reynolds number : Re_theta = 6771
#     Boundary-layer thickness : delta = 0.07 C  = 0.55 h
#     Displacement-thickness : delta^*  = 9.4 × 10−3 C = 0.073 h
#
# 
# Data: 
#    Resolution (nx,ny) = (207,23)
#    Domain extent from x = 0.625C to 1.583C
#
#    do i = 1,nx
#    do j = 1,ny
#       read(20,*) x(i,j),y(i,j),U(i,j),V(i,j),W(i,j)&
#                 ,uu(i,j),vv(i,j),ww(i,j)&
#                 ,uv(i,j),uw(i,j),vw(i,j)
#    enddo
#    read(20,*)
#    enddo
# 
#    x/C           y/C           U/U_in        V/U_in        W/U_in        uu/U_in^2     vv/U_in^2     ww/U_in^2     uv/U_in^2     uw/U_in^2     vw/U_in^2
     0.6257347     0.1217669     0.5374246    -0.0778927     0.0001638     0.0194960     0.0075563     0.0130532    -0.0036861     0.0001030     0.0000209
     0.6267326     0.1253020     0.9702221    -0.1225117     0.0003026     0.0152090     0.0042822     0.0062356    -0.0033829    -0.0000123     0.0000063
     0.6280608     0.1283289     1.0645528    -0.1262575     0.0001697     0.0084631     0.0029261     0.0044334    -0.0018966    -0.0000385    -0.0000045
     0.6295761     0.1312230     1.1038992    -0.1251231     0.0004133     0.0053507     0.0023605     0.0036229    -0.0012355    -0.0000369    -0.0000095
     0.6312427     0.1341829     1.1216990    -0.1224000     0.0007966     0.0040660     0.0021873     0.0031950    -0.0009567    -0.0000100    -0.0000117
     0.6330639     0.1373049     1.1303462    -0.1190956     0.0008602     0.0035518     0.0022201     0.0029158    -0.0008793    -0.0000219    -0.0000075
     0.6350551     0.1406439     1.1351324    -0.1156885     0.0009862     0.0033117     0.0022892     0.0027314    -0.0008670    -0.0000277     0.0000009
     0.6371931     0.1442479     1.1393140    -0.1122409     0.0011413     0.0031785     0.0023280     0.0025964    -0.0008851    -0.0000248     0.0000080
     0.6394711     0.1481519     1.1442094    -0.1087551     0.0014204     0.0031035     0.0023123     0.0024529    -0.0009221    -0.0000089     0.0000174
     0.6418845     0.1523904     1.1498379    -0.1053010     0.0016699     0.0029974     0.0022216     0.0023015    -0.0009426     0.0000049     0.0000137
