VARIABLES = "phase, deg","v, m/s"
zone t="PIV data, y=0.1224 mm"
#PIV data
 0.000000000E+00 1.404500008E+01
 5.000000000E+00 1.417199993E+01
 1.000000000E+01 1.439900017E+01
 1.500000000E+01 1.669700050E+01
 2.000000000E+01 1.927099991E+01
 2.500000000E+01 2.145999908E+01
 3.000000000E+01 2.440500069E+01
 3.500000000E+01 2.657799911E+01
 4.000000000E+01 2.810799980E+01
 4.500000000E+01 2.831999969E+01
 5.000000000E+01 2.258799934E+01
 5.500000000E+01 2.533699989E+01
 6.000000000E+01 2.414699936E+01
 6.500000000E+01 2.373100090E+01
 7.000000000E+01 2.280599976E+01
 7.500000000E+01 2.185000038E+01
 8.000000000E+01 2.162599945E+01
 8.500000000E+01 2.147200012E+01
 9.000000000E+01 2.088400078E+01
 9.500000000E+01 1.991099930E+01
 1.000000000E+02 1.458300018E+01
 1.050000000E+02 1.757799911E+01
 1.100000000E+02 1.679400063E+01
 1.150000000E+02 1.662999916E+01
 1.200000000E+02 1.589299965E+01
 1.250000000E+02 1.539099979E+01
 1.300000000E+02 1.477200031E+01
 1.350000000E+02 1.400899982E+01
 1.400000000E+02 1.130900002E+01
 1.450000000E+02 9.623200417E+00
 1.500000000E+02 9.014499664E+00
 1.550000000E+02 7.963099957E+00
 1.600000000E+02 6.542699814E+00
 1.650000000E+02 4.463200092E+00
 1.700000000E+02 2.425499916E+00
 1.750000000E+02 6.270599961E-01
 1.800000000E+02 -6.729000211E-01
 1.850000000E+02 -6.232299805E+00
 1.900000000E+02 -6.536499977E+00
 1.950000000E+02 -7.900700092E+00
 2.000000000E+02 -9.181699753E+00
 2.050000000E+02 -1.050100040E+01
 2.100000000E+02 -1.155500031E+01
 2.150000000E+02 -1.249300003E+01
 2.200000000E+02 -1.317199993E+01
 2.250000000E+02 -1.404500008E+01
 2.300000000E+02 -1.481299973E+01
 2.350000000E+02 -1.488700008E+01
 2.400000000E+02 -1.485999966E+01
 2.450000000E+02 -1.548700047E+01
 2.500000000E+02 -1.442199993E+01
 2.550000000E+02 -1.391600037E+01
 2.600000000E+02 -1.356900024E+01
 2.650000000E+02 -1.331700039E+01
 2.700000000E+02 -1.312300014E+01
 2.750000000E+02 -1.206999969E+01
 2.800000000E+02 -1.163700008E+01
 2.850000000E+02 -1.114099979E+01
 2.900000000E+02 -1.026399994E+01
 2.950000000E+02 -2.648099899E+00
 3.000000000E+02 -2.280100107E+00
 3.050000000E+02 -4.032999992E+00
 3.100000000E+02 -3.180599928E+00
 3.150000000E+02 -2.532700062E+00
 3.200000000E+02 -6.249099970E-01
 3.250000000E+02 3.012199998E-01
 3.300000000E+02 1.113700032E+00
 3.350000000E+02 2.312999964E+00
 3.400000000E+02 2.492700100E+00
 3.450000000E+02 3.719300032E+00
 3.500000000E+02 5.407499790E+00
 3.550000000E+02 7.249000072E+00
zone t="LDV data, y=0.1 mm"
#LDV data
 0.000000000E+00 1.772299957E+01
 5.000000000E+00 2.008300018E+01
 1.000000000E+01 2.213699913E+01
 1.500000000E+01 2.343099976E+01
 2.000000000E+01 2.438999939E+01
 2.500000000E+01 2.477799988E+01
 3.000000000E+01 2.477199936E+01
 3.500000000E+01 2.462599945E+01
 4.000000000E+01 2.378800011E+01
 4.500000000E+01 2.298399925E+01
 5.000000000E+01 2.179500008E+01
 5.500000000E+01 2.090099907E+01
 6.000000000E+01 1.947100067E+01
 6.500000000E+01 1.826399994E+01
 7.000000000E+01 1.681500053E+01
 7.500000000E+01 1.551599979E+01
 8.000000000E+01 1.454899979E+01
 8.500000000E+01 1.404199982E+01
 9.000000000E+01 1.295499992E+01
 9.500000000E+01 1.158300018E+01
 1.000000000E+02 1.074699974E+01
 1.050000000E+02 9.870100021E+00
 1.100000000E+02 9.253000259E+00
 1.150000000E+02 8.450200081E+00
 1.200000000E+02 7.203700066E+00
 1.250000000E+02 6.266200066E+00
 1.300000000E+02 5.196199894E+00
 1.350000000E+02 3.741899967E+00
 1.400000000E+02 2.206399918E+00
 1.450000000E+02 8.697199821E-01
 1.500000000E+02 -1.498100042E+00
 1.550000000E+02 -2.853199959E+00
 1.600000000E+02 -4.329299927E+00
 1.650000000E+02 -5.847599983E+00
 1.700000000E+02 -7.142899990E+00
 1.750000000E+02 -8.521499634E+00
 1.800000000E+02 -9.456999779E+00
 1.850000000E+02 -1.051099968E+01
 1.900000000E+02 -1.143400002E+01
 1.950000000E+02 -1.207900047E+01
 2.000000000E+02 -1.265799999E+01
 2.050000000E+02 -1.294699955E+01
 2.100000000E+02 -1.302000046E+01
 2.150000000E+02 -1.304399967E+01
 2.200000000E+02 -1.299199963E+01
 2.250000000E+02 -1.256099987E+01
 2.300000000E+02 -1.228800011E+01
 2.350000000E+02 -1.171100044E+01
 2.400000000E+02 -1.108199978E+01
 2.450000000E+02 -1.051500034E+01
 2.500000000E+02 -9.862400055E+00
 2.550000000E+02 -9.222999573E+00
 2.600000000E+02 -8.428799629E+00
 2.650000000E+02 -8.063500404E+00
 2.700000000E+02 -7.587900162E+00
 2.750000000E+02 -6.707600117E+00
 2.800000000E+02 -5.970699787E+00
 2.850000000E+02 -5.073599815E+00
 2.900000000E+02 -4.407700062E+00
 2.950000000E+02 -3.635999918E+00
 3.000000000E+02 -2.777600050E+00
 3.050000000E+02 -1.889899969E+00
 3.100000000E+02 -9.769200087E-01
 3.150000000E+02 -3.540999815E-02
 3.200000000E+02 1.602100015E+00
 3.250000000E+02 2.476799965E+00
 3.300000000E+02 2.997900009E+00
 3.350000000E+02 4.047900200E+00
 3.400000000E+02 6.109600067E+00
 3.450000000E+02 9.491499901E+00
 3.500000000E+02 1.249699974E+01
 3.550000000E+02 1.529599953E+01
