#Actuator Data by Phase
VARIABLES = "Phase(deg)","Disp(mm)","Pressure(psi)","Voltage"
 3.295980096E-01 -9.611500055E-02 1.447889954E-01 -2.567340136E-01
 1.527006984E+00 -8.624999970E-02 1.477240026E-01 -2.566739917E-01
 2.498034954E+00 -7.633399963E-02 1.518580019E-01 -2.565200031E-01
 3.605803013E+00 -6.179999933E-02 1.569660008E-01 -2.562850118E-01
 4.443824768E+00 -5.381000042E-02 1.603370011E-01 -2.560079992E-01
 5.566060066E+00 -3.889900073E-02 1.650370061E-01 -2.555820048E-01
 6.574094772E+00 -2.635999955E-02 1.693280041E-01 -2.550820112E-01
 7.401361942E+00 -1.568399929E-02 1.729740053E-01 -2.546730042E-01
 8.541498184E+00 4.260000132E-04 1.788569987E-01 -2.539399862E-01
 9.460554123E+00 1.135499962E-02 1.825959980E-01 -2.533290088E-01
 1.056909466E+01 2.757400088E-02 1.889680028E-01 -2.524600029E-01
 1.151888943E+01 3.736300021E-02 1.927250028E-01 -2.516730130E-01
 1.245348835E+01 4.965800047E-02 1.984820068E-01 -2.508170009E-01
 1.354722881E+01 6.605599821E-02 2.045120001E-01 -2.497130036E-01
 1.446814728E+01 7.709500194E-02 2.097759992E-01 -2.487320006E-01
 1.556178856E+01 9.345000237E-02 2.168239951E-01 -2.474820018E-01
 1.647005463E+01 1.069850028E-01 2.211830020E-01 -2.463639975E-01
 1.748904228E+01 1.189220026E-01 2.278299928E-01 -2.450699955E-01
 1.853001022E+01 1.355829984E-01 2.336090058E-01 -2.436320037E-01
 1.945579910E+01 1.438129991E-01 2.392320037E-01 -2.423049957E-01
 2.053545952E+01 1.567199975E-01 2.460680008E-01 -2.406740040E-01
 2.147730064E+01 1.716489941E-01 2.510589957E-01 -2.391770035E-01
 2.253830147E+01 1.825969964E-01 2.581790090E-01 -2.374310046E-01
 2.354636574E+01 1.972890049E-01 2.643469870E-01 -2.356780022E-01
 2.445383835E+01 2.094890028E-01 2.712529898E-01 -2.340559959E-01
 2.551440239E+01 2.284069955E-01 2.785789967E-01 -2.320670038E-01
 2.645028496E+01 2.371290028E-01 2.849330008E-01 -2.302539945E-01
 2.752584076E+01 2.498539984E-01 2.920889854E-01 -2.281150073E-01
 2.849478340E+01 2.635140121E-01 2.975659966E-01 -2.260619998E-01
 2.943441391E+01 2.737280130E-01 3.039770126E-01 -2.240969986E-01
 3.052512169E+01 2.916859984E-01 3.105350137E-01 -2.216690034E-01
 3.144289589E+01 3.022010028E-01 3.160629869E-01 -2.195789963E-01
 3.251996994E+01 3.165560067E-01 3.230589926E-01 -2.170760036E-01
 3.346033478E+01 3.331449926E-01 3.291369975E-01 -2.147669941E-01
 3.443921661E+01 3.443000019E-01 3.362939954E-01 -2.124059945E-01
 3.555324554E+01 3.597530127E-01 3.441230059E-01 -2.095409930E-01
 3.647553635E+01 3.701690137E-01 3.505550027E-01 -2.071799934E-01
 3.755286789E+01 3.867009878E-01 3.597280085E-01 -2.043070048E-01
 3.849971008E+01 4.008010030E-01 3.671219945E-01 -2.016990036E-01
 3.946202469E+01 4.095560014E-01 3.758780062E-01 -1.990659982E-01
 4.055714417E+01 4.227550030E-01 3.846830130E-01 -1.959149987E-01
 4.148005676E+01 4.343129992E-01 3.931809962E-01 -1.932670027E-01
 4.255894470E+01 4.506280124E-01 4.030649960E-01 -1.900739968E-01
 4.349573517E+01 4.622760117E-01 4.109080136E-01 -1.872120053E-01
 4.446494675E+01 4.683760107E-01 4.196200073E-01 -1.842859983E-01
 4.555350113E+01 4.807460010E-01 4.276559949E-01 -1.808380038E-01
 4.645605469E+01 4.921379983E-01 4.355050027E-01 -1.780170053E-01
 4.754270554E+01 5.072029829E-01 4.441129863E-01 -1.744759977E-01
 4.846601486E+01 5.162860155E-01 4.509109855E-01 -1.714459956E-01
 4.951497269E+01 5.277709961E-01 4.585829973E-01 -1.679670066E-01
 5.056490326E+01 5.426899791E-01 4.648210108E-01 -1.643799990E-01
 5.146314621E+01 5.494470000E-01 4.706279933E-01 -1.613229960E-01
 5.250338364E+01 5.601149797E-01 4.764679968E-01 -1.576769948E-01
 5.344649887E+01 5.697389841E-01 4.818919897E-01 -1.543709934E-01
 5.451569366E+01 5.796059966E-01 4.874660075E-01 -1.505409926E-01
 5.547436142E+01 5.915840268E-01 4.928680062E-01 -1.470589936E-01
 5.644605255E+01 5.993779898E-01 4.973410070E-01 -1.435260028E-01
 5.754112244E+01 6.114829779E-01 5.024620295E-01 -1.394419968E-01
 5.848450089E+01 6.170430183E-01 5.064129829E-01 -1.359249949E-01
 5.954783249E+01 6.275650263E-01 5.100730062E-01 -1.318950057E-01
 6.047127914E+01 6.377729774E-01 5.137569904E-01 -1.283379942E-01
 6.144385147E+01 6.452879906E-01 5.162979960E-01 -1.246069968E-01
 6.254648590E+01 6.527979970E-01 5.189710259E-01 -1.202810034E-01
 6.351123428E+01 6.612049937E-01 5.207539797E-01 -1.165020019E-01
 6.456295013E+01 6.709240079E-01 5.221970081E-01 -1.123199984E-01
 6.549268341E+01 6.787840128E-01 5.235139728E-01 -1.085800007E-01
 6.646784210E+01 6.823819876E-01 5.238779783E-01 -1.046650037E-01
 6.754592133E+01 6.930209994E-01 5.229349732E-01 -1.002499983E-01
 6.847376251E+01 6.999040246E-01 5.228930116E-01 -9.647600353E-02
 6.952496338E+01 7.045360208E-01 5.219399929E-01 -9.211900085E-02
 7.047432709E+01 7.120050192E-01 5.213599801E-01 -8.818200231E-02
 7.150033569E+01 7.164729834E-01 5.198540092E-01 -8.391000330E-02
