variables="x_top","y_top","x_bottom","y_bottom"
#scale in inches
zone, t="config 6, large separation case"
-57.5700  36.0000 -57.5700  13.8740
-57.3752  35.9999   0.0000  13.8740
-57.1804  35.9993   0.0000  13.8740
-56.9856  35.9978   0.3579  13.8739
-56.7908  35.9950   0.7158  13.8734
-56.5960  35.9904   1.0737  13.8719
-56.4012  35.9837   1.4316  13.8691
-56.2064  35.9747   1.7896  13.8646
-56.0116  35.9630   2.1475  13.8580
-55.8168  35.9484   2.5054  13.8491
-55.6219  35.9307   2.8633  13.8373
-55.4271  35.9097   3.2212  13.8226
-55.2323  35.8853   3.5791  13.8047
-55.0375  35.8574   3.9370  13.7832
-54.8427  35.8258   4.2949  13.7581
-54.6479  35.7904   4.6528  13.7290
-54.4531  35.7514   5.0107  13.6959
-54.2583  35.7085   5.3686  13.6586
-54.0635  35.6619   5.7266  13.6170
-53.8687  35.6115   6.0845  13.5710
-53.6739  35.5575   6.4424  13.5204
-53.4791  35.4998   6.8003  13.4653
-53.2843  35.4386   7.1582  13.4056
-53.0895  35.3739   7.5161  13.3413
-52.8947  35.3059   7.8740  13.2724
-52.6999  35.2348   8.2319  13.1988
-52.5051  35.1606   8.5898  13.1206
-52.3103  35.0836   8.9478  13.0378
-52.1155  35.0040   9.3057  12.9506
-51.9206  34.9218   9.6636  12.8589
-51.7258  34.8374  10.0215  12.7629
-51.5310  34.7509  10.3794  12.6626
-51.3362  34.6626  10.7373  12.5582
-51.1414  34.5726  11.0952  12.4498
-50.9466  34.4813  11.4531  12.3375
-50.7518  34.3889  11.8110  12.2214
-50.5570  34.2955  12.1689  12.1019
-50.3622  34.2016  12.5269  11.9789
-50.1674  34.1072  12.8848  11.8527
-49.9726  34.0128  13.2427  11.7234
-49.7778  33.9184  13.6006  11.5913
-49.5830  33.8245  13.9585  11.4565
-49.3882  33.7311  14.3164  11.3193
-49.1934  33.6387  14.6743  11.1799
-48.9986  33.5474  15.0322  11.0385
-48.8038  33.4574  15.3901  10.8953
-48.6090  33.3691  15.7480  10.7505
-48.4142  33.2826  16.1060  10.6044
-48.2194  33.1982  16.4639  10.4572
-48.0245  33.1160  16.8218  10.3092
-47.8297  33.0364  17.1797  10.1606
-47.6349  32.9594  17.5376  10.0116
-47.4401  32.8852  17.8955   9.8625
-47.2453  32.8141  18.2534   9.7135
-47.0505  32.7461  18.6113   9.5648
-46.8557  32.6814  18.9692   9.4168
-46.6609  32.6202  19.3271   9.2696
-46.4661  32.5625  19.6851   9.1235
-46.2713  32.5085  20.0430   8.9788
-46.0765  32.4581  20.4009   8.8355
-45.8817  32.4115  20.7588   8.6941
-45.6869  32.3686  21.1167   8.5547
-45.4921  32.3296  21.4746   8.4175
-45.2973  32.2942  21.8325   8.2827
-45.1025  32.2626  22.1904   8.1506
-44.9077  32.2347  22.5483   8.0214
-44.7129  32.2103  22.9062   7.8952
-44.5181  32.1893  23.2642   7.7722
-44.3232  32.1716  23.6221   7.6526
-44.1284  32.1570  23.9800   7.5366
-43.9336  32.1453  24.3379   7.4243
-43.7388  32.1363  24.6958   7.3158
-43.5440  32.1296  25.0537   7.2114
-43.3492  32.1250  25.4116   7.1112
-43.1544  32.1222  25.7695   7.0151
-42.9596  32.1207  26.1274   6.9234
-42.7648  32.1201  26.4853   6.8362
-42.5700  32.1200  26.8432   6.7534
-42.5700  32.1200  27.2012   6.6753
-39.5700  32.1600  27.5591   6.6017
-39.5700  32.1600  27.9170   6.5327
-33.5700  32.2710  28.2749   6.4684
-27.5700  32.3690  28.6328   6.4087
-23.8200  32.3970  28.9907   6.3536
-14.3200  32.3970  29.3486   6.3031
-10.5700  32.3860  29.7065   6.2570
 -6.5700  32.3740  30.0644   6.2154
 -2.5700  32.3590  30.4223   6.1781
  1.4300  32.3690  30.7803   6.1450
  5.4300  32.3800  31.1382   6.1160
  7.1800  32.3740  31.4961   6.0908
 16.6800  32.5500  31.8540   6.0694
 18.4300  32.6130  32.2119   6.0514
 20.4300  32.6970  32.5698   6.0367
 22.4300  32.7980  32.9277   6.0250
 24.4300  32.9010  33.2856   6.0160
 26.4300  33.0190  33.6435   6.0094
 28.4300  33.1450  34.0014   6.0049
 30.4300  33.2690  34.3594   6.0021
 32.4300  33.3820  34.7173   6.0006
 34.4300  33.5060  35.0752   6.0001
 36.4300  33.6050  35.4331   6.0000
 38.1800  33.6920  35.4331   6.0000
 50.4300  34.5290  50.4300   6.0000
