# k-kL-MEAH2015 nondim kL and k at x=29.2468
VARIABLES = "y","kL_nondim","k_nondim"
ZONE T="CFL3D, x=29.2468"
 3.411123063E-03 1.402321720E+01 1.055388479E-03
 7.194691803E-03 1.402859402E+01 1.055675326E-03
 1.127146557E-02 1.403895378E+01 1.056212932E-03
 1.557622477E-02 1.405553818E+01 1.057037269E-03
 2.005936019E-02 1.407979965E+01 1.058174530E-03
 2.468227409E-02 1.411349678E+01 1.059643109E-03
 2.941692434E-02 1.415876770E+01 1.061455230E-03
 3.424183652E-02 1.421754837E+01 1.063617994E-03
 3.914155811E-02 1.429065418E+01 1.066134544E-03
 4.410411417E-02 1.437809086E+01 1.069005113E-03
 4.912070185E-02 1.447973633E+01 1.072227024E-03
 5.418433249E-02 1.459535122E+01 1.075795386E-03
 5.928977951E-02 1.472461319E+01 1.079703798E-03
 6.443272531E-02 1.486712360E+01 1.083943993E-03
 6.960977614E-02 1.502242947E+01 1.088506542E-03
 7.481803745E-02 1.519002819E+01 1.093380852E-03
 8.005516976E-02 1.536938763E+01 1.098555513E-03
 8.531908691E-02 1.555994797E+01 1.104018185E-03
 9.060800821E-02 1.576113224E+01 1.109755947E-03
 9.592031687E-02 1.597235584E+01 1.115755760E-03
 1.012546197E-01 1.619303322E+01 1.122004120E-03
 1.066095978E-01 1.642258072E+01 1.128487289E-03
 1.119840965E-01 1.666042328E+01 1.135191531E-03
 1.173770055E-01 1.690599823E+01 1.142103458E-03
 1.227873415E-01 1.715875626E+01 1.149209333E-03
 1.282141656E-01 1.741816902E+01 1.156496000E-03
 1.336566061E-01 1.768371964E+01 1.163950539E-03
 1.391138583E-01 1.795491600E+01 1.171560143E-03
 1.445851475E-01 1.823128891E+01 1.179312356E-03
 1.500697285E-01 1.851238251E+01 1.187195187E-03
 1.555669606E-01 1.879776955E+01 1.195197343E-03
 1.610761583E-01 1.908703804E+01 1.203307183E-03
 1.665967256E-01 1.937979507E+01 1.211514231E-03
