# Planar shear case, k-kL-MEAH2015, x=95.501
VARIABLES = "X"
"Y"
"U Velocity"
ZONE T="CFL3D"
 9.550101471E+01 0.000000000E+00 3.319689035E-01
 9.550101471E+01 3.408005228E-03 3.319686353E-01
 9.550101471E+01 7.532086689E-03 3.319675624E-01
 9.550101471E+01 1.229701098E-02 3.319653869E-01
 9.550101471E+01 1.762626879E-02 3.319617510E-01
 9.550101471E+01 2.345188335E-02 3.319562674E-01
 9.550101471E+01 2.971539460E-02 3.319486976E-01
 9.550101471E+01 3.636940196E-02 3.319386542E-01
 9.550101471E+01 4.337535053E-02 3.319259286E-01
 9.550101471E+01 5.070259795E-02 3.319102228E-01
 9.550101471E+01 5.832638219E-02 3.318913877E-01
 9.550101471E+01 6.622669101E-02 3.318690658E-01
 9.550101471E+01 7.438711077E-02 3.318430781E-01
 9.550101471E+01 8.279412240E-02 3.318132162E-01
 9.550101471E+01 9.143626690E-02 3.317792714E-01
 9.550101471E+01 1.003037915E-01 3.317410350E-01
 9.550101471E+01 1.093881652E-01 3.316983283E-01
 9.550101471E+01 1.186819300E-01 3.316509724E-01
 9.550101471E+01 1.281783730E-01 3.315988183E-01
 9.550101471E+01 1.378714591E-01 3.315416574E-01
 9.550101471E+01 1.477556378E-01 3.314794302E-01
 9.550101471E+01 1.578258425E-01 3.314119875E-01
 9.550101471E+01 1.680773050E-01 3.313391209E-01
 9.550101471E+01 1.785056740E-01 3.312608302E-01
 9.550101471E+01 1.891067624E-01 3.311769366E-01
 9.550101471E+01 1.998767108E-01 3.310874403E-01
 9.550101471E+01 2.108118236E-01 3.309921920E-01
 9.550101471E+01 2.219086140E-01 3.308911920E-01
 9.550101471E+01 2.331637591E-01 3.307843208E-01
 9.550101471E+01 2.445741147E-01 3.306716084E-01
 9.550101471E+01 2.561366260E-01 3.305530548E-01
 9.550101471E+01 2.678484321E-01 3.304284811E-01
 9.550101471E+01 2.797067165E-01 3.302980661E-01
 9.550101471E+01 2.917088866E-01 3.301616907E-01
 9.550101471E+01 3.038523793E-01 3.300194144E-01
 9.550101471E+01 3.161347210E-01 3.298711777E-01
 9.550101471E+01 3.285535276E-01 3.297171593E-01
 9.550101471E+01 3.411065936E-01 3.295571804E-01
 9.550101471E+01 3.537916243E-01 3.293914199E-01
 9.550101471E+01 3.666065633E-01 3.292198777E-01
 9.550101471E+01 3.795493245E-01 3.290425241E-01
 9.550101471E+01 3.926179111E-01 3.288595378E-01
 9.550101471E+01 4.058104753E-01 3.286708295E-01
 9.550101471E+01 4.191250503E-01 3.284765780E-01
 9.550101471E+01 4.325598776E-01 3.282767236E-01
 9.550101471E+01 4.461132288E-01 3.280713856E-01
 9.550101471E+01 4.597833753E-01 3.278606236E-01
 9.550101471E+01 4.735686183E-01 3.276444674E-01
 9.550101471E+01 4.874674082E-01 3.274229467E-01
 9.550101471E+01 5.014781952E-01 3.271962404E-01
 9.550101471E+01 5.155993700E-01 3.269642591E-01
 9.550101471E+01 5.298295617E-01 3.267271817E-01
 9.550101471E+01 5.441672802E-01 3.264850080E-01
 9.550101471E+01 5.586110950E-01 3.262378573E-01
 9.550101471E+01 5.731596351E-01 3.259856999E-01
