# Planar shear case, k-kL-MEAH2015, y=0
VARIABLES = "X"
"Y"
"U Velocity"
ZONE T="CFL3D"
 0.000000000E+00 0.000000000E+00 5.021937490E-01
 7.821894437E-02 0.000000000E+00 5.021131039E-01
 1.568456888E-01 0.000000000E+00 5.019477606E-01
 2.358823568E-01 0.000000000E+00 5.017801523E-01
 3.153310716E-01 0.000000000E+00 5.016239285E-01
 3.951940238E-01 0.000000000E+00 5.014863014E-01
 4.754733145E-01 0.000000000E+00 5.013684630E-01
 5.561711788E-01 0.000000000E+00 5.012701750E-01
 6.372897029E-01 0.000000000E+00 5.011886954E-01
 7.188312411E-01 0.000000000E+00 5.011218190E-01
 8.007978201E-01 0.000000000E+00 5.010665655E-01
 8.831917644E-01 0.000000000E+00 5.010206699E-01
 9.660152793E-01 0.000000000E+00 5.009822249E-01
 1.049270511E+00 0.000000000E+00 5.009496212E-01
 1.132959962E+00 0.000000000E+00 5.009216666E-01
 1.217085600E+00 0.000000000E+00 5.008973479E-01
 1.301649928E+00 0.000000000E+00 5.008758307E-01
 1.386654973E+00 0.000000000E+00 5.008566976E-01
 1.472103357E+00 0.000000000E+00 5.008396506E-01
 1.557997227E+00 0.000000000E+00 5.008241534E-01
 1.644338846E+00 0.000000000E+00 5.008100271E-01
 1.731130600E+00 0.000000000E+00 5.007969737E-01
 1.818374872E+00 0.000000000E+00 5.007847548E-01
 1.906073928E+00 0.000000000E+00 5.007734299E-01
 1.994230270E+00 0.000000000E+00 5.007625818E-01
 2.082846165E+00 0.000000000E+00 5.007523298E-01
 2.171924114E+00 0.000000000E+00 5.007427335E-01
 2.261466503E+00 0.000000000E+00 5.007336140E-01
 2.351475716E+00 0.000000000E+00 5.007248521E-01
 2.441954136E+00 0.000000000E+00 5.007165074E-01
 2.532904387E+00 0.000000000E+00 5.007082820E-01
 2.624328852E+00 0.000000000E+00 5.007004142E-01
 2.716229677E+00 0.000000000E+00 5.006924868E-01
 2.808609962E+00 0.000000000E+00 5.006847382E-01
 2.901471615E+00 0.000000000E+00 5.006775856E-01
 2.994817495E+00 0.000000000E+00 5.006707311E-01
 3.088649988E+00 0.000000000E+00 5.006641150E-01
 3.182971954E+00 0.000000000E+00 5.006577373E-01
 3.277785301E+00 0.000000000E+00 5.006515980E-01
 3.373093128E+00 0.000000000E+00 5.006456375E-01
 3.468897820E+00 0.000000000E+00 5.006396770E-01
 3.565201998E+00 0.000000000E+00 5.006339550E-01
 3.662008286E+00 0.000000000E+00 5.006285310E-01
 3.759319305E+00 0.000000000E+00 5.006232858E-01
 3.857137680E+00 0.000000000E+00 5.006182194E-01
 3.955466032E+00 0.000000000E+00 5.006133914E-01
 4.054306984E+00 0.000000000E+00 5.006085634E-01
 4.153663158E+00 0.000000000E+00 5.006038547E-01
 4.253537178E+00 0.000000000E+00 5.005990267E-01
 4.353932381E+00 0.000000000E+00 5.005941987E-01
 4.454850674E+00 0.000000000E+00 5.005898476E-01
 4.556295395E+00 0.000000000E+00 5.005855560E-01
 4.658268452E+00 0.000000000E+00 5.005815029E-01
 4.760773659E+00 0.000000000E+00 5.005773306E-01
 4.863812923E+00 0.000000000E+00 5.005733371E-01
 4.967389584E+00 0.000000000E+00 5.005693436E-01
