# Planar shear case, x=29.2468
VARIABLES = "X"
"Y"
"U Velocity"
zone, t="CFL3D"
 2.924682617E+01 0.000000000E+00 4.171707034E-01
 2.924682617E+01 3.411123063E-03 4.171682000E-01
 2.924682617E+01 7.194691803E-03 4.171599746E-01
 2.924682617E+01 1.127146557E-02 4.171446264E-01
 2.924682617E+01 1.557622477E-02 4.171211123E-01
 2.924682617E+01 2.005936019E-02 4.170886874E-01
 2.924682617E+01 2.468227409E-02 4.170466661E-01
 2.924682617E+01 2.941692434E-02 4.169947207E-01
 2.924682617E+01 3.424183652E-02 4.169324934E-01
 2.924682617E+01 3.914155811E-02 4.168596864E-01
 2.924682617E+01 4.410411417E-02 4.167761207E-01
 2.924682617E+01 4.912070185E-02 4.166816473E-01
 2.924682617E+01 5.418433249E-02 4.165760875E-01
 2.924682617E+01 5.928977951E-02 4.164593816E-01
 2.924682617E+01 6.443272531E-02 4.163314402E-01
 2.924682617E+01 6.960977614E-02 4.161921442E-01
 2.924682617E+01 7.481803745E-02 4.160414636E-01
 2.924682617E+01 8.005516976E-02 4.158793390E-01
 2.924682617E+01 8.531908691E-02 4.157057106E-01
 2.924682617E+01 9.060800821E-02 4.155206084E-01
 2.924682617E+01 9.592031687E-02 4.153239727E-01
 2.924682617E+01 1.012546197E-01 4.151158333E-01
 2.924682617E+01 1.066095978E-01 4.148962200E-01
 2.924682617E+01 1.119840965E-01 4.146651030E-01
 2.924682617E+01 1.173770055E-01 4.144225419E-01
 2.924682617E+01 1.227873415E-01 4.141685963E-01
 2.924682617E+01 1.282141656E-01 4.139032960E-01
 2.924682617E+01 1.336566061E-01 4.136266708E-01
 2.924682617E+01 1.391138583E-01 4.133388400E-01
 2.924682617E+01 1.445851475E-01 4.130398333E-01
 2.924682617E+01 1.500697285E-01 4.127297401E-01
 2.924682617E+01 1.555669606E-01 4.124086797E-01
 2.924682617E+01 1.610761583E-01 4.120767117E-01
 2.924682617E+01 1.665967256E-01 4.117340147E-01
 2.924682617E+01 1.721280813E-01 4.113805890E-01
 2.924682617E+01 1.776696742E-01 4.110166132E-01
 2.924682617E+01 1.832209527E-01 4.106421769E-01
 2.924682617E+01 1.887814403E-01 4.102573991E-01
 2.924682617E+01 1.943506300E-01 4.098624587E-01
 2.924682617E+01 1.999280900E-01 4.094574153E-01
 2.924682617E+01 2.055133283E-01 4.090424478E-01
 2.924682617E+01 2.111059576E-01 4.086176753E-01
 2.924682617E+01 2.167055905E-01 4.081832469E-01
 2.924682617E+01 2.223117799E-01 4.077393413E-01
 2.924682617E+01 2.279241830E-01 4.072860479E-01
 2.924682617E+01 2.335424274E-01 4.068235457E-01
 2.924682617E+01 2.391662002E-01 4.063519835E-01
 2.924682617E+01 2.447951138E-01 4.058715105E-01
 2.924682617E+01 2.504288852E-01 4.053823054E-01
 2.924682617E+01 2.560672164E-01 4.048844576E-01
 2.924682617E+01 2.617097497E-01 4.043782353E-01
 2.924682617E+01 2.673562467E-01 4.038636982E-01
 2.924682808E+01 2.730064392E-01 4.033410251E-01
 2.924682808E+01 2.786599994E-01 4.028104246E-01
 2.924682808E+01 2.843166888E-01 4.022720456E-01
 2.924682808E+01 2.899762690E-01 4.017259777E-01
