# Planar shear case, y=0
VARIABLES = "X"
"Y"
"U Velocity"
zone, t="CFL3D"
 0.000000000E+00 0.000000000E+00 5.018742085E-01
 7.821894437E-02 0.000000000E+00 5.018036962E-01
 1.568456888E-01 0.000000000E+00 5.016596317E-01
 2.358823568E-01 0.000000000E+00 5.015140772E-01
 3.153310716E-01 0.000000000E+00 5.013790131E-01
 3.951940238E-01 0.000000000E+00 5.012601614E-01
 4.754733145E-01 0.000000000E+00 5.011585355E-01
 5.561711788E-01 0.000000000E+00 5.010736585E-01
 6.372897029E-01 0.000000000E+00 5.010033250E-01
 7.188312411E-01 0.000000000E+00 5.009456277E-01
 8.007978201E-01 0.000000000E+00 5.008978844E-01
 8.831917644E-01 0.000000000E+00 5.008584261E-01
 9.660152793E-01 0.000000000E+00 5.008254647E-01
 1.049270511E+00 0.000000000E+00 5.007977486E-01
 1.132959962E+00 0.000000000E+00 5.007742047E-01
 1.217085600E+00 0.000000000E+00 5.007539988E-01
 1.301649928E+00 0.000000000E+00 5.007362366E-01
 1.386654973E+00 0.000000000E+00 5.007207990E-01
 1.472103357E+00 0.000000000E+00 5.007072687E-01
 1.557997227E+00 0.000000000E+00 5.006951690E-01
 1.644338846E+00 0.000000000E+00 5.006844401E-01
 1.731130600E+00 0.000000000E+00 5.006746650E-01
 1.818374872E+00 0.000000000E+00 5.006657243E-01
 1.906073928E+00 0.000000000E+00 5.006576180E-01
 1.994230270E+00 0.000000000E+00 5.006499887E-01
 2.082846165E+00 0.000000000E+00 5.006428957E-01
 2.171924114E+00 0.000000000E+00 5.006364584E-01
 2.261466503E+00 0.000000000E+00 5.006303787E-01
 2.351475716E+00 0.000000000E+00 5.006247759E-01
 2.441954136E+00 0.000000000E+00 5.006194115E-01
 2.532904387E+00 0.000000000E+00 5.006142855E-01
 2.624328852E+00 0.000000000E+00 5.006093383E-01
 2.716229677E+00 0.000000000E+00 5.006043911E-01
 2.808609962E+00 0.000000000E+00 5.005995631E-01
 2.901471615E+00 0.000000000E+00 5.005952120E-01
 2.994817495E+00 0.000000000E+00 5.005911589E-01
 3.088649988E+00 0.000000000E+00 5.005873442E-01
 3.182971954E+00 0.000000000E+00 5.005835891E-01
 3.277785301E+00 0.000000000E+00 5.005800128E-01
 3.373093128E+00 0.000000000E+00 5.005764961E-01
 3.468897820E+00 0.000000000E+00 5.005729198E-01
 3.565201998E+00 0.000000000E+00 5.005695224E-01
 3.662008286E+00 0.000000000E+00 5.005663037E-01
 3.759319305E+00 0.000000000E+00 5.005632043E-01
 3.857137680E+00 0.000000000E+00 5.005601645E-01
 3.955466032E+00 0.000000000E+00 5.005571842E-01
 4.054306984E+00 0.000000000E+00 5.005542636E-01
 4.153663158E+00 0.000000000E+00 5.005513430E-01
 4.253537178E+00 0.000000000E+00 5.005481839E-01
 4.353932381E+00 0.000000000E+00 5.005451441E-01
 4.454850674E+00 0.000000000E+00 5.005423427E-01
 4.556295395E+00 0.000000000E+00 5.005396605E-01
 4.658268452E+00 0.000000000E+00 5.005370378E-01
 4.760773659E+00 0.000000000E+00 5.005344748E-01
 4.863812923E+00 0.000000000E+00 5.005319118E-01
 4.967389584E+00 0.000000000E+00 5.005292892E-01
