#SSG/LRR-RM-w2012
VARIABLES = "x","y","k_nondim","omega_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 3.411123063E-03 1.227013767E-03 3.465668215E-06
 2.924682617E+01 7.194691803E-03 1.227213303E-03 3.465858981E-06
 2.924682617E+01 1.127146557E-02 1.227587694E-03 3.466215276E-06
 2.924682617E+01 1.557622477E-02 1.228160923E-03 3.466764838E-06
 2.924682617E+01 2.005936019E-02 1.228951965E-03 3.467517445E-06
 2.924682617E+01 2.468227409E-02 1.229974907E-03 3.468487648E-06
 2.924682617E+01 2.941692434E-02 1.231238828E-03 3.469690455E-06
 2.924682617E+01 3.424183652E-02 1.232750481E-03 3.471123364E-06
 2.924682617E+01 3.914155811E-02 1.234515570E-03 3.472788649E-06
 2.924682617E+01 4.410411417E-02 1.236536657E-03 3.474691312E-06
 2.924682617E+01 4.912070185E-02 1.238817465E-03 3.476829079E-06
 2.924682617E+01 5.418433249E-02 1.241358463E-03 3.479199449E-06
 2.924682617E+01 5.928977951E-02 1.244157320E-03 3.481802196E-06
 2.924682617E+01 6.443272531E-02 1.247216831E-03 3.484635045E-06
 2.924682617E+01 6.960977614E-02 1.250536647E-03 3.487692766E-06
 2.924682617E+01 7.481803745E-02 1.254114439E-03 3.490968083E-06
 2.924682617E+01 8.005516976E-02 1.257947297E-03 3.494455768E-06
 2.924682617E+01 8.531908691E-02 1.262032893E-03 3.498151045E-06
 2.924682617E+01 9.060800821E-02 1.266368199E-03 3.502043683E-06
 2.924682617E+01 9.592031687E-02 1.270946697E-03 3.506126632E-06
 2.924682617E+01 1.012546197E-01 1.275766990E-03 3.510389433E-06
 2.924682617E+01 1.066095978E-01 1.280821627E-03 3.514824584E-06
 2.924682617E+01 1.119840965E-01 1.286104438E-03 3.519422535E-06
 2.924682617E+01 1.173770055E-01 1.291611814E-03 3.524170324E-06
 2.924682617E+01 1.227873415E-01 1.297334908E-03 3.529057949E-06
 2.924682617E+01 1.282141656E-01 1.303267200E-03 3.534078360E-06
 2.924682617E+01 1.336566061E-01 1.309403218E-03 3.539218824E-06
 2.924682617E+01 1.391138583E-01 1.315731904E-03 3.544462061E-06
 2.924682617E+01 1.445851475E-01 1.322246040E-03 3.549799885E-06
 2.924682617E+01 1.500697285E-01 1.328937127E-03 3.555225248E-06
 2.924682617E+01 1.555669606E-01 1.335795387E-03 3.560725190E-06
 2.924682617E+01 1.610761583E-01 1.342812087E-03 3.566285386E-06
 2.924682617E+01 1.665967256E-01 1.349978382E-03 3.571893330E-06
 2.924682617E+01 1.721280813E-01 1.357285422E-03 3.577541293E-06
 2.924682617E+01 1.776696742E-01 1.364721451E-03 3.583219041E-06
 2.924682617E+01 1.832209527E-01 1.372277271E-03 3.588914069E-06
 2.924682617E+01 1.887814403E-01 1.379941707E-03 3.594614554E-06
 2.924682617E+01 1.943506300E-01 1.387706376E-03 3.600312311E-06
 2.924682617E+01 1.999280900E-01 1.395562082E-03 3.606000064E-06
 2.924682617E+01 2.055133283E-01 1.403497183E-03 3.611665079E-06
 2.924682617E+01 2.111059576E-01 1.411501202E-03 3.617297807E-06
 2.924682617E+01 2.167055905E-01 1.419565175E-03 3.622890517E-06
 2.924682617E+01 2.223117799E-01 1.427678391E-03 3.628435479E-06
 2.924682617E+01 2.279241830E-01 1.435828162E-03 3.633926099E-06
 2.924682617E+01 2.335424274E-01 1.444008667E-03 3.639353736E-06
 2.924682617E+01 2.391662002E-01 1.452210592E-03 3.644713615E-06
 2.924682617E+01 2.447951138E-01 1.460421947E-03 3.649996415E-06
 2.924682617E+01 2.504288852E-01 1.468631905E-03 3.655196451E-06
 2.924682617E+01 2.560672164E-01 1.476833248E-03 3.660311449E-06
 2.924682617E+01 2.617097497E-01 1.485019573E-03 3.665331860E-06
 2.924682617E+01 2.673562467E-01 1.493179123E-03 3.670254273E-06
 2.924682617E+01 2.730064392E-01 1.501302468E-03 3.675074140E-06
 2.924682617E+01 2.786599994E-01 1.509383204E-03 3.679786460E-06
 2.924682617E+01 2.843166888E-01 1.517412951E-03 3.684393960E-06
 2.924682617E+01 2.899762690E-01 1.525383675E-03 3.688889137E-06
 2.924682617E+01 2.956385016E-01 1.533285365E-03 3.693264262E-06
 2.924682617E+01 3.013031185E-01 1.541113015E-03 3.697521606E-06
 2.924682617E+01 3.069699109E-01 1.548860688E-03 3.701661626E-06
 2.924682617E+01 3.126386404E-01 1.556519186E-03 3.705676818E-06
