# Planar shear case, SSG/LRR-RSM-w2012, x=95.501
VARIABLES = "X"
"Y"
"U Velocity"
ZONE T="CFL3D"
 9.550101471E+01 0.000000000E+00 3.270111978E-01
 9.550101471E+01 3.408005228E-03 3.270162642E-01
 9.550101471E+01 7.532086689E-03 3.270260394E-01
 9.550101471E+01 1.229701098E-02 3.270347118E-01
 9.550101471E+01 1.762626879E-02 3.270415664E-01
 9.550101471E+01 2.345188335E-02 3.270462155E-01
 9.550101471E+01 2.971539460E-02 3.270487487E-01
 9.550101471E+01 3.636940196E-02 3.270490766E-01
 9.550101471E+01 4.337535053E-02 3.270474672E-01
 9.550101471E+01 5.070259795E-02 3.270440698E-01
 9.550101471E+01 5.832638219E-02 3.270389438E-01
 9.550101471E+01 6.622669101E-02 3.270322680E-01
 9.550101471E+01 7.438711077E-02 3.270241022E-01
 9.550101471E+01 8.279412240E-02 3.270144463E-01
 9.550101471E+01 9.143626690E-02 3.270033300E-01
 9.550101471E+01 1.003037915E-01 3.269907534E-01
 9.550101471E+01 1.093881652E-01 3.269765973E-01
 9.550101471E+01 1.186819300E-01 3.269609213E-01
 9.550101471E+01 1.281783730E-01 3.269435465E-01
 9.550101471E+01 1.378714591E-01 3.269244432E-01
 9.550101471E+01 1.477556378E-01 3.269035816E-01
 9.550101471E+01 1.578258425E-01 3.268807828E-01
 9.550101471E+01 1.680773050E-01 3.268560171E-01
 9.550101471E+01 1.785056740E-01 3.268291354E-01
 9.550101471E+01 1.891067624E-01 3.268001378E-01
 9.550101471E+01 1.998767108E-01 3.267689347E-01
 9.550101471E+01 2.108118236E-01 3.267353773E-01
 9.550101471E+01 2.219086140E-01 3.266993761E-01
 9.550101471E+01 2.331637591E-01 3.266609311E-01
 9.550101471E+01 2.445741147E-01 3.266198933E-01
 9.550101471E+01 2.561366260E-01 3.265762031E-01
 9.550101471E+01 2.678484321E-01 3.265297413E-01
 9.550101471E+01 2.797067165E-01 3.264804780E-01
 9.550101471E+01 2.917088866E-01 3.264283240E-01
 9.550101471E+01 3.038523793E-01 3.263731301E-01
 9.550101471E+01 3.161347210E-01 3.263148963E-01
 9.550101471E+01 3.285535276E-01 3.262534738E-01
 9.550101471E+01 3.411065936E-01 3.261887729E-01
 9.550101471E+01 3.537916243E-01 3.261208236E-01
 9.550101471E+01 3.666065633E-01 3.260494173E-01
 9.550101471E+01 3.795493245E-01 3.259745240E-01
 9.550101471E+01 3.926179111E-01 3.258960545E-01
 9.550101471E+01 4.058104753E-01 3.258138597E-01
 9.550101471E+01 4.191250503E-01 3.257279992E-01
 9.550101471E+01 4.325598776E-01 3.256382644E-01
 9.550101471E+01 4.461132288E-01 3.255446255E-01
 9.550101471E+01 4.597833753E-01 3.254470229E-01
 9.550101471E+01 4.735686183E-01 3.253453076E-01
 9.550101471E+01 4.874674082E-01 3.252394497E-01
 9.550101471E+01 5.014781952E-01 3.251293302E-01
 9.550101471E+01 5.155993700E-01 3.250148892E-01
 9.550101471E+01 5.298295617E-01 3.248960972E-01
 9.550101471E+01 5.441672802E-01 3.247727752E-01
 9.550101471E+01 5.586110950E-01 3.246448934E-01
 9.550101471E+01 5.731596351E-01 3.245124221E-01
