# Planar shear case, SSG/LRR-RSM-w2012, y=0
VARIABLES = "X"
"Y"
"U Velocity"
ZONE T="CFL3D"
 0.000000000E+00 0.000000000E+00 5.023285747E-01
 7.821894437E-02 0.000000000E+00 5.022525191E-01
 1.568456888E-01 0.000000000E+00 5.020928979E-01
 2.358823568E-01 0.000000000E+00 5.019251108E-01
 3.153310716E-01 0.000000000E+00 5.017640591E-01
 3.951940238E-01 0.000000000E+00 5.016178489E-01
 4.754733145E-01 0.000000000E+00 5.014889836E-01
 5.561711788E-01 0.000000000E+00 5.013778210E-01
 6.372897029E-01 0.000000000E+00 5.012828708E-01
 7.188312411E-01 0.000000000E+00 5.012020469E-01
 8.007978201E-01 0.000000000E+00 5.011330247E-01
 8.831917644E-01 0.000000000E+00 5.010739565E-01
 9.660152793E-01 0.000000000E+00 5.010227561E-01
 1.049270511E+00 0.000000000E+00 5.009782910E-01
 1.132959962E+00 0.000000000E+00 5.009391308E-01
 1.217085600E+00 0.000000000E+00 5.009044409E-01
 1.301649928E+00 0.000000000E+00 5.008733273E-01
 1.386654973E+00 0.000000000E+00 5.008454323E-01
 1.472103357E+00 0.000000000E+00 5.008202791E-01
 1.557997227E+00 0.000000000E+00 5.007974505E-01
 1.644338846E+00 0.000000000E+00 5.007766485E-01
 1.731130600E+00 0.000000000E+00 5.007575154E-01
 1.818374872E+00 0.000000000E+00 5.007398725E-01
 1.906073928E+00 0.000000000E+00 5.007236004E-01
 1.994230270E+00 0.000000000E+00 5.007083416E-01
 2.082846165E+00 0.000000000E+00 5.006942153E-01
 2.171924114E+00 0.000000000E+00 5.006811619E-01
 2.261466503E+00 0.000000000E+00 5.006690025E-01
 2.351475716E+00 0.000000000E+00 5.006574988E-01
 2.441954136E+00 0.000000000E+00 5.006468296E-01
 2.532904387E+00 0.000000000E+00 5.006366372E-01
 2.624328852E+00 0.000000000E+00 5.006270409E-01
 2.716229677E+00 0.000000000E+00 5.006175637E-01
 2.808609962E+00 0.000000000E+00 5.006085634E-01
 2.901471615E+00 0.000000000E+00 5.006003976E-01
 2.994817495E+00 0.000000000E+00 5.005926490E-01
 3.088649988E+00 0.000000000E+00 5.005854368E-01
 3.182971954E+00 0.000000000E+00 5.005784035E-01
 3.277785301E+00 0.000000000E+00 5.005717874E-01
 3.373093128E+00 0.000000000E+00 5.005654097E-01
 3.468897820E+00 0.000000000E+00 5.005592108E-01
 3.565201998E+00 0.000000000E+00 5.005532503E-01
 3.662008286E+00 0.000000000E+00 5.005475879E-01
 3.759319305E+00 0.000000000E+00 5.005422831E-01
 3.857137680E+00 0.000000000E+00 5.005371571E-01
 3.955466032E+00 0.000000000E+00 5.005322695E-01
 4.054306984E+00 0.000000000E+00 5.005274415E-01
 4.153663158E+00 0.000000000E+00 5.005227923E-01
 4.253537178E+00 0.000000000E+00 5.005180240E-01
 4.353932381E+00 0.000000000E+00 5.005133748E-01
 4.454850674E+00 0.000000000E+00 5.005092025E-01
 4.556295395E+00 0.000000000E+00 5.005051494E-01
 4.658268452E+00 0.000000000E+00 5.005013347E-01
 4.760773659E+00 0.000000000E+00 5.004976988E-01
 4.863812923E+00 0.000000000E+00 5.004940629E-01
