# Planar shear case, sst, x=2.71623
VARIABLES = "X"
"Y"
"U Velocity"
zone, t="CFL3D"
 2.716229677E+00 0.000000000E+00 5.006179810E-01
 2.716229677E+00 3.411792452E-03 5.006179810E-01
 2.716229677E+00 6.878545973E-03 5.006180406E-01
 2.716229677E+00 1.038206182E-02 5.006181598E-01
 2.716229677E+00 1.390974317E-02 5.006182790E-01
 2.716229677E+00 1.745269448E-02 5.006184578E-01
 2.716229677E+00 2.100474574E-02 5.006186366E-01
 2.716229677E+00 2.456161939E-02 5.006188750E-01
 2.716229677E+00 2.812026069E-02 5.006191730E-01
 2.716229677E+00 3.167856485E-02 5.006194711E-01
 2.716229677E+00 3.523498029E-02 5.006198287E-01
 2.716229677E+00 3.878846765E-02 5.006202459E-01
 2.716229677E+00 4.233822227E-02 5.006207228E-01
 2.716229677E+00 4.588367790E-02 5.006211996E-01
 2.716229677E+00 4.942440987E-02 5.006216764E-01
 2.716229677E+00 5.296008661E-02 5.006222725E-01
 2.716229677E+00 5.649045855E-02 5.006228685E-01
 2.716229916E+00 6.001533195E-02 5.006235242E-01
 2.716229916E+00 6.353453547E-02 5.006242394E-01
 2.716229916E+00 6.704795361E-02 5.006249547E-01
 2.716229916E+00 7.055545598E-02 5.006257296E-01
 2.716229916E+00 7.405696809E-02 5.006265640E-01
 2.716229916E+00 7.755240798E-02 5.006274581E-01
 2.716229916E+00 8.104169369E-02 5.006283522E-01
 2.716229916E+00 8.452477306E-02 5.006293058E-01
 2.716229916E+00 8.800158650E-02 5.006303191E-01
 2.716229916E+00 9.147208184E-02 5.006313920E-01
 2.716229916E+00 9.493622929E-02 5.006325245E-01
 2.716229916E+00 9.839397669E-02 5.006337166E-01
 2.716229916E+00 1.018452868E-01 5.006349087E-01
 2.716229916E+00 1.052901372E-01 5.006362200E-01
 2.716229916E+00 1.087284833E-01 5.006375313E-01
 2.716229916E+00 1.121603027E-01 5.006389022E-01
 2.716229916E+00 1.155855730E-01 5.006403327E-01
 2.716229916E+00 1.190042794E-01 5.006418228E-01
 2.716229916E+00 1.224163845E-01 5.006434321E-01
 2.716229916E+00 1.258218735E-01 5.006450415E-01
 2.716229916E+00 1.292207539E-01 5.006467700E-01
 2.716229916E+00 1.326129735E-01 5.006485581E-01
 2.716229916E+00 1.359985322E-01 5.006504059E-01
 2.716229916E+00 1.393774301E-01 5.006523132E-01
 2.716229916E+00 1.427496225E-01 5.006542802E-01
 2.716229916E+00 1.461151540E-01 5.006563663E-01
 2.716229916E+00 1.494739652E-01 5.006585121E-01
 2.716229916E+00 1.528260559E-01 5.006607175E-01
 2.716230154E+00 1.561714411E-01 5.006630421E-01
 2.716230154E+00 1.595101058E-01 5.006654263E-01
 2.716230154E+00 1.628420204E-01 5.006678700E-01
 2.716230154E+00 1.661672145E-01 5.006704330E-01
 2.716230154E+00 1.694856733E-01 5.006731153E-01
 2.716230154E+00 1.727973819E-01 5.006758571E-01
 2.716230154E+00 1.761023551E-01 5.006787181E-01
 2.716230154E+00 1.794005781E-01 5.006816983E-01
 2.716230154E+00 1.826920360E-01 5.006847382E-01
 2.716230154E+00 1.859767735E-01 5.006879568E-01
 2.716230154E+00 1.892547458E-01 5.006912351E-01
