# Planar shear case, sst, y=0
VARIABLES = "X"
"Y"
"U Velocity"
zone, t="CFL3D"
 0.000000000E+00 0.000000000E+00 5.026274323E-01
 7.821894437E-02 0.000000000E+00 5.025334358E-01
 1.568456888E-01 0.000000000E+00 5.023375154E-01
 2.358823568E-01 0.000000000E+00 5.021334291E-01
 3.153310716E-01 0.000000000E+00 5.019374490E-01
 3.951940238E-01 0.000000000E+00 5.017592907E-01
 4.754733145E-01 0.000000000E+00 5.016017556E-01
 5.561711788E-01 0.000000000E+00 5.014658570E-01
 6.372897029E-01 0.000000000E+00 5.013497472E-01
 7.188312411E-01 0.000000000E+00 5.012514591E-01
 8.007978201E-01 0.000000000E+00 5.011681914E-01
 8.831917644E-01 0.000000000E+00 5.010974407E-01
 9.660152793E-01 0.000000000E+00 5.010371804E-01
 1.049270511E+00 0.000000000E+00 5.009854436E-01
 1.132959962E+00 0.000000000E+00 5.009407997E-01
 1.217085600E+00 0.000000000E+00 5.009019375E-01
 1.301649928E+00 0.000000000E+00 5.008679032E-01
 1.386654973E+00 0.000000000E+00 5.008378029E-01
 1.472103357E+00 0.000000000E+00 5.008112788E-01
 1.557997227E+00 0.000000000E+00 5.007876754E-01
 1.644338846E+00 0.000000000E+00 5.007665753E-01
 1.731130600E+00 0.000000000E+00 5.007475019E-01
 1.818374872E+00 0.000000000E+00 5.007302761E-01
 1.906073928E+00 0.000000000E+00 5.007146001E-01
 1.994230270E+00 0.000000000E+00 5.007001162E-01
 2.082846165E+00 0.000000000E+00 5.006868243E-01
 2.171924114E+00 0.000000000E+00 5.006747246E-01
 2.261466503E+00 0.000000000E+00 5.006635785E-01
 2.351475716E+00 0.000000000E+00 5.006532669E-01
 2.441954136E+00 0.000000000E+00 5.006437302E-01
 2.532904387E+00 0.000000000E+00 5.006347299E-01
 2.624328852E+00 0.000000000E+00 5.006262660E-01
 2.716229677E+00 0.000000000E+00 5.006179810E-01
 2.808609962E+00 0.000000000E+00 5.006102324E-01
 2.901471615E+00 0.000000000E+00 5.006031394E-01
 2.994817495E+00 0.000000000E+00 5.005966425E-01
 3.088649988E+00 0.000000000E+00 5.005905032E-01
 3.182971954E+00 0.000000000E+00 5.005847216E-01
 3.277785301E+00 0.000000000E+00 5.005792379E-01
 3.373093128E+00 0.000000000E+00 5.005739927E-01
 3.468897820E+00 0.000000000E+00 5.005688667E-01
 3.565201998E+00 0.000000000E+00 5.005639791E-01
 3.662008286E+00 0.000000000E+00 5.005594492E-01
 3.759319305E+00 0.000000000E+00 5.005551577E-01
 3.857137680E+00 0.000000000E+00 5.005511045E-01
 3.955466032E+00 0.000000000E+00 5.005472302E-01
 4.054306984E+00 0.000000000E+00 5.005434752E-01
 4.153663158E+00 0.000000000E+00 5.005397201E-01
 4.253537178E+00 0.000000000E+00 5.005359650E-01
 4.353932381E+00 0.000000000E+00 5.005323291E-01
 4.454850674E+00 0.000000000E+00 5.005289912E-01
 4.556295395E+00 0.000000000E+00 5.005258918E-01
 4.658268452E+00 0.000000000E+00 5.005229712E-01
 4.760773659E+00 0.000000000E+00 5.005201101E-01
 4.863812923E+00 0.000000000E+00 5.005173087E-01
 4.967389584E+00 0.000000000E+00 5.005145669E-01
