VARIABLES = "X"
"Y"
"Mu_tOverMu_inf"
ZONE T="CFL3D x=29.2468"
 2.924682617E+01 3.411123063E-03 2.501620789E+02
 2.924682617E+01 7.194691803E-03 2.502108154E+02
 2.924682617E+01 1.127146557E-02 2.503020172E+02
 2.924682617E+01 1.557622477E-02 2.504417572E+02
 2.924682617E+01 2.005936019E-02 2.506344299E+02
 2.924682617E+01 2.468227409E-02 2.508830261E+02
 2.924682617E+01 2.941692434E-02 2.511895752E+02
 2.924682617E+01 3.424183652E-02 2.515552673E+02
 2.924682617E+01 3.914155811E-02 2.519808044E+02
 2.924682617E+01 4.410411417E-02 2.524663086E+02
 2.924682617E+01 4.912070185E-02 2.530116577E+02
 2.924682617E+01 5.418433249E-02 2.536163330E+02
 2.924682617E+01 5.928977951E-02 2.542795715E+02
 2.924682617E+01 6.443272531E-02 2.550003967E+02
 2.924682617E+01 6.960977614E-02 2.557776184E+02
 2.924682617E+01 7.481803745E-02 2.566098633E+02
 2.924682617E+01 8.005516976E-02 2.574955444E+02
 2.924682617E+01 8.531908691E-02 2.584330444E+02
 2.924682617E+01 9.060800821E-02 2.594205017E+02
 2.924682617E+01 9.592031687E-02 2.604559631E+02
 2.924682617E+01 1.012546197E-01 2.615374451E+02
 2.924682617E+01 1.066095978E-01 2.626628113E+02
 2.924682617E+01 1.119840965E-01 2.638299255E+02
 2.924682617E+01 1.173770055E-01 2.650365601E+02
 2.924682617E+01 1.227873415E-01 2.662805176E+02
 2.924682617E+01 1.282141656E-01 2.675594788E+02
 2.924682617E+01 1.336566061E-01 2.688712158E+02
 2.924682617E+01 1.391138583E-01 2.702134705E+02
 2.924682617E+01 1.445851475E-01 2.715840149E+02
 2.924682617E+01 1.500697285E-01 2.729806213E+02
 2.924682617E+01 1.555669606E-01 2.744011230E+02
 2.924682617E+01 1.610761583E-01 2.758434143E+02
 2.924682617E+01 1.665967256E-01 2.773053894E+02
 2.924682617E+01 1.721280813E-01 2.787850342E+02
 2.924682617E+01 1.776696742E-01 2.802803650E+02
 2.924682617E+01 1.832209527E-01 2.817894897E+02
 2.924682617E+01 1.887814403E-01 2.833105469E+02
 2.924682617E+01 1.943506300E-01 2.848417664E+02
 2.924682617E+01 1.999280900E-01 2.863814697E+02
 2.924682617E+01 2.055133283E-01 2.879279480E+02
 2.924682617E+01 2.111059576E-01 2.894796448E+02
 2.924682617E+01 2.167055905E-01 2.910350952E+02
 2.924682617E+01 2.223117799E-01 2.925928040E+02
 2.924682617E+01 2.279241830E-01 2.941514282E+02
 2.924682617E+01 2.335424274E-01 2.957096252E+02
 2.924682617E+01 2.391662002E-01 2.972661743E+02
 2.924682617E+01 2.447951138E-01 2.988198853E+02
 2.924682617E+01 2.504288852E-01 3.003696594E+02
 2.924682617E+01 2.560672164E-01 3.019143677E+02
 2.924682617E+01 2.617097497E-01 3.034530334E+02
 2.924682617E+01 2.673562467E-01 3.049846802E+02
 2.924682808E+01 2.730064392E-01 3.065084534E+02
 2.924682808E+01 2.786599994E-01 3.080234070E+02
 2.924682808E+01 2.843166888E-01 3.095287781E+02
 2.924682808E+01 2.899762690E-01 3.110238037E+02
 2.924682808E+01 2.956385016E-01 3.125077209E+02
 2.924682808E+01 3.013031185E-01 3.139799194E+02
