# Planar shear case, w06, x=95.501
VARIABLES = "X"
"Y"
"U Velocity"
ZONE T="CFL3D"
 9.550101471E+01 0.000000000E+00 3.350989819E-01
 9.550101471E+01 3.408005228E-03 3.350987434E-01
 9.550101471E+01 7.532086689E-03 3.350978196E-01
 9.550101471E+01 1.229701098E-02 3.350959718E-01
 9.550101471E+01 1.762626879E-02 3.350928724E-01
 9.550101471E+01 2.345188335E-02 3.350881934E-01
 9.550101471E+01 2.971539460E-02 3.350816965E-01
 9.550101471E+01 3.636940196E-02 3.350732028E-01
 9.550101471E+01 4.337535053E-02 3.350623250E-01
 9.550101471E+01 5.070259795E-02 3.350489736E-01
 9.550101471E+01 5.832638219E-02 3.350328207E-01
 9.550101471E+01 6.622669101E-02 3.350137770E-01
 9.550101471E+01 7.438711077E-02 3.349915743E-01
 9.550101471E+01 8.279412240E-02 3.349660039E-01
 9.550101471E+01 9.143626690E-02 3.349369466E-01
 9.550101471E+01 1.003037915E-01 3.349041045E-01
 9.550101471E+01 1.093881652E-01 3.348673880E-01
 9.550101471E+01 1.186819300E-01 3.348266482E-01
 9.550101471E+01 1.281783730E-01 3.347815871E-01
 9.550101471E+01 1.378714591E-01 3.347321451E-01
 9.550101471E+01 1.477556378E-01 3.346780837E-01
 9.550101471E+01 1.578258425E-01 3.346192837E-01
 9.550101471E+01 1.680773050E-01 3.345555663E-01
 9.550101471E+01 1.785056740E-01 3.344868422E-01
 9.550101471E+01 1.891067624E-01 3.344129622E-01
 9.550101471E+01 1.998767108E-01 3.343336880E-01
 9.550101471E+01 2.108118236E-01 3.342489898E-01
 9.550101471E+01 2.219086140E-01 3.341587484E-01
 9.550101471E+01 2.331637591E-01 3.340627551E-01
 9.550101471E+01 2.445741147E-01 3.339609206E-01
 9.550101471E+01 2.561366260E-01 3.338532150E-01
 9.550101471E+01 2.678484321E-01 3.337394595E-01
 9.550101471E+01 2.797067165E-01 3.336195946E-01
 9.550101471E+01 2.917088866E-01 3.334934711E-01
 9.550101471E+01 3.038523793E-01 3.333611190E-01
 9.550101471E+01 3.161347210E-01 3.332223594E-01
 9.550101471E+01 3.285535276E-01 3.330771923E-01
 9.550101471E+01 3.411065936E-01 3.329255283E-01
 9.550101471E+01 3.537916243E-01 3.327673078E-01
 9.550101471E+01 3.666065633E-01 3.326025009E-01
 9.550101471E+01 3.795493245E-01 3.324310780E-01
 9.550101471E+01 3.926179111E-01 3.322529495E-01
 9.550101471E+01 4.058104753E-01 3.320680857E-01
 9.550101471E+01 4.191250503E-01 3.318765163E-01
 9.550101471E+01 4.325598776E-01 3.316781819E-01
 9.550101471E+01 4.461132288E-01 3.314730525E-01
 9.550101471E+01 4.597833753E-01 3.312612474E-01
 9.550101471E+01 4.735686183E-01 3.310425878E-01
 9.550101471E+01 4.874674082E-01 3.308171630E-01
 9.550101471E+01 5.014781952E-01 3.305849731E-01
 9.550101471E+01 5.155993700E-01 3.303460181E-01
 9.550101471E+01 5.298295617E-01 3.301003575E-01
 9.550101471E+01 5.441672802E-01 3.298479915E-01
 9.550101471E+01 5.586110950E-01 3.295889199E-01
 9.550101471E+01 5.731596351E-01 3.293232024E-01
 9.550101471E+01 5.878115892E-01 3.290508687E-01
