# Planar shear case, w06, y=0
VARIABLES = "X"
"Y"
"U Velocity"
ZONE T="CFL3D"
  0.000000000E+00 0.000000000E+00 5.023877621E-01
 7.821894437E-02 0.000000000E+00 5.023145080E-01
 1.568456888E-01 0.000000000E+00 5.021593571E-01
 2.358823568E-01 0.000000000E+00 5.019933581E-01
 3.153310716E-01 0.000000000E+00 5.018317699E-01
 3.951940238E-01 0.000000000E+00 5.016833544E-01
 4.754733145E-01 0.000000000E+00 5.015512705E-01
 5.561711788E-01 0.000000000E+00 5.014364123E-01
 6.372897029E-01 0.000000000E+00 5.013376474E-01
 7.188312411E-01 0.000000000E+00 5.012533665E-01
 8.007978201E-01 0.000000000E+00 5.011811852E-01
 8.831917644E-01 0.000000000E+00 5.011194348E-01
 9.660152793E-01 0.000000000E+00 5.010662079E-01
 1.049270511E+00 0.000000000E+00 5.010200739E-01
 1.132959962E+00 0.000000000E+00 5.009799004E-01
 1.217085600E+00 0.000000000E+00 5.009445548E-01
 1.301649928E+00 0.000000000E+00 5.009133220E-01
 1.386654973E+00 0.000000000E+00 5.008854866E-01
 1.472103357E+00 0.000000000E+00 5.008608103E-01
 1.557997227E+00 0.000000000E+00 5.008386374E-01
 1.644338846E+00 0.000000000E+00 5.008185506E-01
 1.731130600E+00 0.000000000E+00 5.008002520E-01
 1.818374872E+00 0.000000000E+00 5.007835031E-01
 1.906073928E+00 0.000000000E+00 5.007680058E-01
 1.994230270E+00 0.000000000E+00 5.007535815E-01
 2.082846165E+00 0.000000000E+00 5.007400513E-01
 2.171924114E+00 0.000000000E+00 5.007276535E-01
 2.261466503E+00 0.000000000E+00 5.007159710E-01
 2.351475716E+00 0.000000000E+00 5.007050633E-01
 2.441954136E+00 0.000000000E+00 5.006948113E-01
 2.532904387E+00 0.000000000E+00 5.006849766E-01
 2.624328852E+00 0.000000000E+00 5.006756783E-01
 2.716229677E+00 0.000000000E+00 5.006665587E-01
 2.808609962E+00 0.000000000E+00 5.006578565E-01
 2.901471615E+00 0.000000000E+00 5.006498694E-01
 2.994817495E+00 0.000000000E+00 5.006424189E-01
 3.088649988E+00 0.000000000E+00 5.006353259E-01
 3.182971954E+00 0.000000000E+00 5.006285906E-01
 3.277785301E+00 0.000000000E+00 5.006221533E-01
 3.373093128E+00 0.000000000E+00 5.006158948E-01
 3.468897820E+00 0.000000000E+00 5.006098747E-01
 3.565201998E+00 0.000000000E+00 5.006039739E-01
 3.662008286E+00 0.000000000E+00 5.005984902E-01
 3.759319305E+00 0.000000000E+00 5.005932450E-01
 3.857137680E+00 0.000000000E+00 5.005882382E-01
 3.955466032E+00 0.000000000E+00 5.005833507E-01
 4.054306984E+00 0.000000000E+00 5.005786419E-01
 4.153663158E+00 0.000000000E+00 5.005739927E-01
 4.253537178E+00 0.000000000E+00 5.005692840E-01
 4.353932381E+00 0.000000000E+00 5.005646348E-01
 4.454850674E+00 0.000000000E+00 5.005605221E-01
 4.556295395E+00 0.000000000E+00 5.005565286E-01
 4.658268452E+00 0.000000000E+00 5.005527139E-01
 4.760773659E+00 0.000000000E+00 5.005489588E-01
 4.863812923E+00 0.000000000E+00 5.005453825E-01
 4.967389584E+00 0.000000000E+00 5.005418658E-01
