VARIABLES = "x","y","omega_nondim","k_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 3.411123063E-03 3.560072173E-06 8.924162248E-04
 2.924682617E+01 7.194691803E-03 3.560808636E-06 8.927742601E-04
 2.924682617E+01 1.127146557E-02 3.562188567E-06 8.934452781E-04
 2.924682617E+01 1.557622477E-02 3.564302688E-06 8.944739238E-04
 2.924682617E+01 2.005936019E-02 3.567217163E-06 8.958930266E-04
 2.924682617E+01 2.468227409E-02 3.570976787E-06 8.977254620E-04
 2.924682617E+01 2.941692434E-02 3.575611345E-06 8.999872953E-04
 2.924682617E+01 3.424183652E-02 3.581138344E-06 9.026887710E-04
 2.924682617E+01 3.914155811E-02 3.587566425E-06 9.058365249E-04
 2.924682617E+01 4.410411417E-02 3.594896953E-06 9.094337001E-04
 2.924682617E+01 4.912070185E-02 3.603125151E-06 9.134812281E-04
 2.924682617E+01 5.418433249E-02 3.612241699E-06 9.179777117E-04
 2.924682617E+01 5.928977951E-02 3.622232725E-06 9.229202406E-04
 2.924682617E+01 6.443272531E-02 3.633080723E-06 9.283040999E-04
 2.924682617E+01 6.960977614E-02 3.644764547E-06 9.341233526E-04
 2.924682617E+01 7.481803745E-02 3.657259867E-06 9.403706063E-04
 2.924682617E+01 8.005516976E-02 3.670539854E-06 9.470372461E-04
 2.924682617E+01 8.531908691E-02 3.684574722E-06 9.541135514E-04
 2.924682617E+01 9.060800821E-02 3.699332865E-06 9.615888703E-04
 2.924682617E+01 9.592031687E-02 3.714780178E-06 9.694513865E-04
 2.924682617E+01 1.012546197E-01 3.730880962E-06 9.776885854E-04
 2.924682617E+01 1.066095978E-01 3.747598385E-06 9.862872539E-04
 2.924682617E+01 1.119840965E-01 3.764893791E-06 9.952331893E-04
 2.924682617E+01 1.173770055E-01 3.782727845E-06 1.004511723E-03
 2.924682617E+01 1.227873415E-01 3.801060984E-06 1.014107838E-03
 2.924682617E+01 1.282141656E-01 3.819852282E-06 1.024005935E-03
 2.924682617E+01 1.336566061E-01 3.839061264E-06 1.034190063E-03
 2.924682617E+01 1.391138583E-01 3.858647233E-06 1.044643926E-03
 2.924682617E+01 1.445851475E-01 3.878569714E-06 1.055351109E-03
 2.924682617E+01 1.500697285E-01 3.898787782E-06 1.066294964E-03
 2.924682617E+01 1.555669606E-01 3.919261871E-06 1.077458845E-03
 2.924682617E+01 1.610761583E-01 3.939952876E-06 1.088825986E-03
 2.924682617E+01 1.665967256E-01 3.960822141E-06 1.100379857E-03
 2.924682617E+01 1.721280813E-01 3.981832833E-06 1.112103811E-03
 2.924682617E+01 1.776696742E-01 4.002947662E-06 1.123981318E-03
 2.924682617E+01 1.832209527E-01 4.024130703E-06 1.135996077E-03
 2.924682617E+01 1.887814403E-01 4.045347850E-06 1.148131909E-03
 2.924682617E+01 1.943506300E-01 4.066565907E-06 1.160373213E-03
 2.924682617E+01 1.999280900E-01 4.087752586E-06 1.172704156E-03
 2.924682617E+01 2.055133283E-01 4.108876965E-06 1.185109490E-03
 2.924682617E+01 2.111059576E-01 4.129909939E-06 1.197574195E-03
 2.924682617E+01 2.167055905E-01 4.150822406E-06 1.210083719E-03
 2.924682617E+01 2.223117799E-01 4.171587534E-06 1.222623745E-03
 2.924682617E+01 2.279241830E-01 4.192179858E-06 1.235180185E-03
 2.924682617E+01 2.335424274E-01 4.212574368E-06 1.247739652E-03
 2.924682617E+01 2.391662002E-01 4.232748779E-06 1.260288991E-03
 2.924682617E+01 2.447951138E-01 4.252679901E-06 1.272815280E-03
 2.924682617E+01 2.504288852E-01 4.272348633E-06 1.285306294E-03
 2.924682617E+01 2.560672164E-01 4.291734058E-06 1.297749928E-03
 2.924682617E+01 2.617097497E-01 4.310818440E-06 1.310134772E-03
 2.924682617E+01 2.673562467E-01 4.329584954E-06 1.322449534E-03
 2.924682808E+01 2.730064392E-01 4.348016319E-06 1.334683620E-03
 2.924682808E+01 2.786599994E-01 4.366098892E-06 1.346826553E-03
 2.924682808E+01 2.843166888E-01 4.383818577E-06 1.358868321E-03
 2.924682808E+01 2.899762690E-01 4.401161732E-06 1.370799611E-03
 2.924682808E+01 2.956385016E-01 4.418117442E-06 1.382610993E-03
 2.924682808E+01 3.013031185E-01 4.434673883E-06 1.394293853E-03
 2.924682808E+01 3.069699109E-01 4.450821507E-06 1.405839692E-03
 2.924682808E+01 3.126386404E-01 4.466550763E-06 1.417240594E-03
 2.924682808E+01 3.183091283E-01 4.481853466E-06 1.428488875E-03
 2.924682808E+01 3.239811063E-01 4.496722340E-06 1.439577201E-03
 2.924682808E+01 3.296544254E-01 4.511150109E-06 1.450498705E-03
 2.924682808E+01 3.353288770E-01 4.525131317E-06 1.461246749E-03
 2.924682808E+01 3.410042226E-01 4.538659596E-06 1.471814932E-03
 2.924682808E+01 3.466803133E-01 4.551730854E-06 1.482197433E-03
 2.924682808E+01 3.523569703E-01 4.564340998E-06 1.492388779E-03
 2.924682808E+01 3.580340445E-01 4.576486845E-06 1.502383617E-03
 2.924682808E+01 3.637112975E-01 4.588164757E-06 1.512176823E-03
 2.924682808E+01 3.693885803E-01 4.599372460E-06 1.521763741E-03
 2.924682808E+01 3.750658035E-01 4.610108590E-06 1.531140064E-03
 2.924682808E+01 3.807426989E-01 4.620371328E-06 1.540301717E-03
 2.924682808E+01 3.864191771E-01 4.630159765E-06 1.549244625E-03
 2.924682808E+01 3.920950890E-01 4.639473445E-06 1.557965414E-03
 2.924682808E+01 3.977702558E-01 4.648311915E-06 1.566460705E-03
 2.924682808E+01 4.034445286E-01 4.656675628E-06 1.574727241E-03
 2.924682808E+01 4.091178477E-01 4.664565495E-06 1.582762459E-03
 2.924682808E+01 4.147899747E-01 4.671981969E-06 1.590563683E-03
 2.924682808E+01 4.204608202E-01 4.678926416E-06 1.598128350E-03
 2.924682808E+01 4.261302650E-01 4.685400199E-06 1.605454483E-03
 2.924682808E+01 4.317981601E-01 4.691405593E-06 1.612539985E-03
 2.924682808E+01 4.374643862E-01 4.696944416E-06 1.619383343E-03
 2.924682808E+01 4.431288540E-01 4.702019396E-06 1.625982812E-03
 2.924682808E+01 4.487914145E-01 4.706632353E-06 1.632337226E-03
 2.924682808E+01 4.544518888E-01 4.710786015E-06 1.638445188E-03
 2.924682808E+01 4.601102769E-01 4.714484021E-06 1.644305768E-03
 2.924682808E+01 4.657664299E-01 4.717728643E-06 1.649918268E-03
 2.924682808E+01 4.714201987E-01 4.720523975E-06 1.655281871E-03
 2.924682808E+01 4.770715535E-01 4.722872745E-06 1.660396229E-03
 2.924682808E+01 4.827202857E-01 4.724778591E-06 1.665260992E-03
 2.924682808E+01 4.883664250E-01 4.726245606E-06 1.669875928E-03
 2.924682808E+01 4.940097332E-01 4.727277428E-06 1.674240921E-03
 2.924682808E+01 4.996501803E-01 4.727877695E-06 1.678356202E-03
 2.924682808E+01 5.052877665E-01 4.728050953E-06 1.682222006E-03
 2.924682808E+01 5.109221935E-01 4.727800388E-06 1.685838448E-03
 2.924682808E+01 5.165535212E-01 4.727131000E-06 1.689206227E-03
 2.924682808E+01 5.221816301E-01 4.726045972E-06 1.692325808E-03
 2.924682808E+01 5.278064013E-01 4.724550308E-06 1.695198007E-03
 2.924682808E+01 5.334277749E-01 4.722647645E-06 1.697823638E-03
 2.924682808E+01 5.390456915E-01 4.720342531E-06 1.700203633E-03
 2.924682808E+01 5.446600318E-01 4.717639058E-06 1.702338923E-03
 2.924682808E+01 5.502706766E-01 4.714541774E-06 1.704230555E-03
 2.924682808E+01 5.558776855E-01 4.711055681E-06 1.705879811E-03
 2.924682808E+01 5.614808202E-01 4.707184871E-06 1.707288204E-03
 2.924682808E+01 5.670800805E-01 4.702934348E-06 1.708456781E-03
 2.924682808E+01 5.726754069E-01 4.698308203E-06 1.709387288E-03
 2.924682808E+01 5.782667398E-01 4.693311439E-06 1.710081124E-03
